Subfolder,Index,Exact Match,F1-Score,METEOR
text,0,0.0,0.0,0.0
text,6,0.0,0.3939393939393939,0.22299786697692456
text,9,0.0,0.0,0.0
text,10,0.0,0.0,0.0
text,11,0.0,0.0,0.0
text,7,0.0,0.2380952380952381,0.1724137931034483
text,2,0.0,0.09302325581395349,0.10822510822510824
text,5,0.0,0.2,0.17119425109564324
text,3,0.0,0.1639344262295082,0.16419202661431065
text,12,0.0,0.0,0.0
text,4,0.0,0.1111111111111111,0.06944444444444445
text,18,0.0,0.0,0.0
text,15,1.0,1.0,0.07812500000000001
text,13,0.0,0.13636363636363635,0.1375
text,21,0.0,0.0,0.0
text,20,0.0,0.0,0.03623188405797102
text,14,0.0,0.2051282051282051,0.13927576601671307
text,16,0.0,0.1935483870967742,0.07490636704119852
text,17,0.0,0.0,0.0
text,8,0.0,0.0,0.0
text,19,0.0,0.0,0.0
text,24,0.0,0.12903225806451613,0.1060070671378092
text,23,0.0,0.14814814814814817,0.10801617944475088
text,26,0.0,0.21428571428571427,0.17734375000000002
text,25,0.0,0.14285714285714285,0.22837706511175904
text,28,0.0,0.41666666666666663,0.28395061728395066
text,30,0.0,0.0,0.034722222222222224
text,27,0.0,0.32,0.23281157123043394
text,22,0.0,0.16216216216216217,0.15514826240241758
text,33,0.0,0.3157894736842105,0.1673210937776363
text,29,0.0,0.0,0.38239538239538234
text,31,0.0,0.1702127659574468,0.2988707165109034
text,32,0.0,0.2526315789473684,0.21326550676339956
text,34,0.0,0.2777777777777778,0.09404388714733543
text,37,0.0,0.10000000000000002,0.14492753623188406
text,35,0.0,0.07142857142857142,0.2184466019417476
text,38,0.0,0.0,0.03225806451612903
text,39,0.0,0.0,0.13513513513513514
text,36,0.0,0.0,0.03267973856209151
text,43,0.0,0.0,0.05154639175257733
text,46,0.0,0.0,0.0
text,45,0.0,0.0,0.0
text,42,0.0,0.28571428571428575,0.36357690706938584
text,40,0.0,0.1875,0.0749063670411985
text,41,0.0,0.30769230769230765,0.18299952312827852
text,47,0.0,0.18181818181818185,0.26053658418361164
text,44,0.0,0.125,0.03906250000000001
text,48,1.0,1.0,0.10775862068965518
text,1,0.0,0.0,0.03225806451612904
text,50,0.0,0.1395348837209302,0.21200525664811376
text,49,0.0,0.0,0.0
text,55,0.0,0.13333333333333333,0.11194029850746269
text,58,0.0,0.0,0.0
text,56,0.0,0.0,0.0
text,57,0.0,0.0,0.0
text,51,0.0,0.13333333333333333,0.23472404512853148
text,53,0.0,0.36363636363636365,0.3162588986171345
text,59,0.0,0.0,0.0
text,60,0.0,0.4761904761904762,0.44946598101265817
text,54,0.0,0.25641025641025644,0.253637708859979
text,62,0.0,0.25806451612903225,0.19632731958762892
text,61,0.0,0.0,0.0684931506849315
text,63,0.0,0.47826086956521735,0.30308355437665785
text,69,0.0,0.0,0.0
text,52,0.0,0.4210526315789474,0.29394615423617104
text,64,0.0,0.5142857142857143,0.306618122362067
text,66,0.0,0.35714285714285715,0.32212885154061627
text,65,0.0,0.25,0.21484375000000006
text,68,0.0,0.0,0.04
