Subfolder,Index,Exact Match,F1-Score,METEOR
text,0,0.0,0.30769230769230765,0.3407407407407408
text,6,1.0,1.0,0.042016806722689086
text,1,0.0,0.0,0.0
text,4,0.0,0.0,0.04098360655737706
text,9,0.0,0.0,0.0
text,11,0.0,0.0,0.0
text,7,0.0,0.0,0.0
text,3,0.0,0.0,0.0
text,8,0.0,0.0,0.0
text,5,0.0,0.6666666666666666,0.2640845070422536
text,16,1.0,1.0,0.21650326797385627
text,15,0.0,0.8,0.13888888888888892
text,17,1.0,1.0,0.18028846153846156
text,19,1.0,1.0,0.2858683926645092
text,20,0.0,0.6666666666666666,0.1674107142857143
text,18,0.0,0.0,0.04132231404958678
text,10,0.0,1.0,0.0
text,21,1.0,1.0,0.2804232804232805
text,2,1.0,1.0,0.24671052631578952
text,22,0.0,0.0,0.0
text,23,0.0,0.0,0.04273504273504274
text,27,0.0,0.0,0.0
text,28,0.0,0.0,0.06329113924050633
text,12,0.0,0.0,0.0
text,26,1.0,1.0,0.18203883495145634
text,29,1.0,1.0,0.037313432835820906
text,13,1.0,1.0,0.21306818181818182
text,14,0.0,0.0,0.0
text,32,0.0,0.0,0.05050505050505051
text,30,0.0,0.0,0.03649635036496351
text,31,0.0,0.0,0.0
text,36,0.0,0.0,0.0
text,38,0.0,0.0,0.0
text,35,0.0,0.0,0.0
text,40,0.0,0.0,0.0
text,33,0.0,0.0,0.034965034965034975
text,39,0.0,0.0,0.0
text,37,0.0,0.0,0.0
text,34,1.0,1.0,0.22476675148430883
text,41,1.0,1.0,0.37443609022556396
text,42,0.0,0.5,0.03267973856209151
text,44,0.0,0.0,0.0
text,24,1.0,1.0,0.203804347826087
text,48,0.0,0.0,0.05882352941176471
text,43,0.0,0.0,0.19761372110365405
text,25,0.0,0.6666666666666666,0.19132653061224492
text,46,1.0,1.0,0.3345959595959596
text,47,0.0,0.0,0.0
text,51,0.0,0.8,0.05494505494505495
text,49,1.0,1.0,0.27985074626865675
text,45,1.0,1.0,0.03937007874015749
text,52,0.0,0.0,0.0
text,50,1.0,1.0,0.22058823529411767
text,53,0.0,0.0,0.0
text,54,0.0,0.0,0.0
text,55,0.0,0.0,0.05376344086021507
text,60,0.0,0.0,0.0
text,59,1.0,1.0,0.21551724137931036
text,58,0.0,0.0,0.03125000000000001
text,61,0.0,0.0,0.0
text,56,0.0,0.0,0.0373134328358209
text,64,0.0,0.0,0.0
text,65,0.0,0.0,0.0
text,62,0.0,1.0,0.10416666666666669
text,57,0.0,0.0,0.07142857142857145
text,63,0.0,0.0,0.05376344086021507
text,66,0.0,0.0,0.0
text,72,1.0,1.0,0.2016129032258065
text,68,0.0,0.4,0.04166666666666668
text,71,0.0,1.0,0.05050505050505052
text,70,0.0,0.0,0.0
text,74,0.0,0.6666666666666666,0.053191489361702135
text,73,0.0,0.0,0.0
text,67,1.0,1.0,0.2435064935064936
text,69,0.0,0.8,0.12048192771084341
text,79,0.0,0.0,0.0
text,75,0.0,0.0,0.07462686567164178
text,83,0.0,0.0,0.0
text,81,0.0,1.0,0.05208333333333335
text,76,0.0,1.0,0.07936507936507937
text,84,0.0,0.28571428571428575,0.053191489361702135
text,82,0.0,0.0,0.0
text,80,1.0,1.0,0.18939393939393942
text,87,0.0,0.6666666666666666,0.21067415730337083
text,78,0.0,0.0,0.0
text,85,0.0,0.0,0.19329896907216496
text,86,1.0,1.0,0.23437500000000006
text,77,0.0,0.4,0.10000000000000002
text,89,1.0,1.0,0.29296875000000006
text,91,1.0,1.0,0.21810699588477372
text,97,0.0,1.0,0.09174311926605506
text,100,0.0,0.6666666666666666,0.054347826086956534
text,95,0.0,0.0,0.0
text,88,0.0,0.0,0.0
text,92,1.0,1.0,0.16163793103448276
text,99,0.0,0.8,0.2726337448559671
text,90,0.0,0.0,0.0
text,93,0.0,0.6666666666666666,0.14534883720930236
text,94,0.0,0.3333333333333333,0.08403361344537816
text,101,0.0,0.0,0.0986842105263158
text,103,0.0,0.5,0.09433962264150944
text,96,0.0,0.0,0.0
text,98,0.0,0.0,0.02840909090909091
text,107,0.0,0.4,0.07751937984496125
text,102,1.0,1.0,0.1752336448598131
text,108,0.0,0.0,0.0
text,105,0.0,0.6666666666666666,0.203804347826087
