Subfolder,Index,Exact Match,F1-Score,METEOR
image,11,1.0,1.0,0.1602564102564103
image,5,0.0,0.24615384615384614,0.16110201358563805
image,4,0.0,0.3076923076923077,0.21601848286484407
image,2,0.0,0.11428571428571428,0.13711151736745888
image,10,0.0,0.0,0.0
image,8,0.0,0.0,0.0
image,1,0.0,0.0,0.0
image,9,1.0,1.0,0.1284246575342466
image,7,0.0,0.2121212121212121,0.15283842794759828
image,0,0.0,0.0,0.03267973856209151
image,6,0.0,0.7826086956521738,0.750651592924746
image,12,0.0,0.0,0.0
image,15,1.0,1.0,0.03703703703703704
image,16,0.0,0.11764705882352941,0.06369426751592358
image,14,0.0,0.21739130434782608,0.16786570743405277
image,17,0.0,0.0,0.0
image,3,0.0,0.32967032967032966,0.3062699480754574
image,20,0.0,0.0,0.0
image,19,1.0,1.0,0.12583892617449666
image,21,0.0,0.0,0.0
image,22,0.0,0.54,0.6313091597495268
image,18,0.0,0.0,0.0
image,23,0.0,0.18461538461538463,0.1600878460382593
image,24,0.0,0.32608695652173914,0.2328302247064236
image,13,0.0,0.15584415584415584,0.15060240963855423
image,25,0.0,0.24242424242424246,0.14869888475836435
image,30,0.0,0.0,0.0
image,27,0.0,0.18181818181818182,0.1308139534883721
image,29,0.0,0.0,0.08130081300813008
image,26,0.0,0.16666666666666666,0.15151515151515155
image,28,0.0,0.5454545454545454,0.29601029601029605
image,36,0.0,0.1904761904761905,0.10080645161290325
image,32,0.0,0.6504065040650405,0.6512159133947734
image,34,0.0,0.6274509803921569,0.484486040609137
image,31,0.0,0.2121212121212121,0.277175
image,38,0.0,0.0606060606060606,0.04716981132075473
image,35,0.0,0.35294117647058826,0.15723270440251574
image,33,0.0,0.24,0.350672340425532
image,37,0.0,0.5925925925925927,0.46680497925311204
image,41,0.0,0.21538461538461542,0.1823085922266996
image,40,0.0,0.1568627450980392,0.1300699300699301
image,39,0.0,0.09836065573770492,0.10905086672350099
image,42,0.0,0.5405405405405405,0.4384975143903716
image,46,0.0,0.0,0.03546099290780143
image,49,0.0,0.0,0.0
image,44,0.0,0.06451612903225806,0.029585798816568053
image,48,0.0,0.0,0.02347417840375587
image,43,0.0,0.0,0.0276243093922652
image,51,0.0,0.4473684210526315,0.3766150409668928
image,52,0.0,0.2711864406779661,0.24160797820387606
image,53,0.0,0.37209302325581395,0.34423655343241333
image,47,0.0,0.136986301369863,0.14388489208633096
image,50,0.0,0.16666666666666666,0.16198704103671707
image,55,0.0,0.2105263157894737,0.21941752699812536
image,45,0.0,0.0,0.0574712643678161
image,56,1.0,1.0,0.05494505494505496
image,58,0.0,0.0,0.02890173410404625
image,54,0.0,0.35294117647058826,0.16949152542372883
image,57,0.0,0.0,0.026595744680851068
image,63,0.0,0.5599999999999999,0.3207686725466117
image,59,0.0,0.0,0.04385964912280702
image,62,0.0,0.24242424242424238,0.2311430491650727
image,66,0.0,0.5,0.41915382753892083
image,70,0.0,0.0,0.0
image,65,0.0,0.33333333333333337,0.26279896997206714
image,67,0.0,0.0,0.0
image,61,0.0,0.12698412698412698,0.1358024691358025
image,60,0.0,0.3157894736842105,0.38992510684029796
image,64,0.0,0.5384615384615384,0.3248358992719895
image,71,1.0,1.0,0.15243902439024395
image,76,0.0,0.21568627450980393,0.20640596682001952
image,68,0.0,0.0,0.04166666666666668
image,77,0.0,0.3057324840764331,0.303166480089557
image,72,0.0,0.5142857142857143,0.41441441441441446
image,73,0.0,0.3384615384615385,0.2835409923640135
image,74,0.0,0.0,0.04672897196261683
image,69,0.0,0.0,0.0
image,79,0.0,0.3943661971830986,0.32487802236933344
image,78,0.0,0.6451612903225806,0.4566143003964176
image,75,0.0,0.0,0.0
image,80,0.0,0.24390243902439024,0.24572649572649574
image,82,1.0,1.0,0.048543689320388356
image,85,0.0,0.45283018867924524,0.18561484918793508
image,86,0.0,0.1839080459770115,0.2171751809673107
image,81,0.0,0.0,0.0
image,88,0.0,0.5652173913043479,0.36858377659574476
image,87,0.0,0.07547169811320754,0.10869565217391305
image,83,0.0,0.0,0.04504504504504506
image,90,0.0,0.7272727272727272,0.6087344603604767
image,84,1.0,1.0,0.030864197530864203
image,89,0.0,0.29411764705882354,0.2555668016194333
image,91,0.0,0.3703703703703704,0.472801550201766
image,95,0.0,0.07142857142857142,0.08217220435869955
image,97,0.0,0.10526315789473684,0.27169105567771124
image,93,0.0,0.6938775510204083,0.5033258137965931
image,94,0.0,0.07692307692307693,0.09615384615384619
image,96,0.0,0.31746031746031744,0.20866597789674712
image,102,1.0,1.0,0.09191176470588237
image,99,0.0,0.0,0.0
image,98,0.0,0.1176470588235294,0.0819672131147541
image,101,0.0,0.0,0.02976190476190477
image,104,0.0,0.0,0.0
image,111,0.0,0.11764705882352941,0.12323943661971833
image,109,0.0,0.4848484848484848,0.2401317690573889
image,100,0.0,0.0,0.0
image,107,0.0,0.0,0.10362694300518135
image,112,0.0,0.0,0.028248587570621476
image,108,0.0,0.40816326530612246,0.3938674023740187
image,105,0.0,0.05882352941176471,0.09345794392523364
image,113,0.0,0.0,0.04098360655737706
image,115,0.0,0.0,0.0
image,110,0.0,0.0,0.0
image,92,0.0,0.2857142857142857,0.3600285171102662
image,119,0.0,0.0,0.04310344827586207
image,120,0.0,0.6363636363636364,0.4455697848863939
image,117,0.0,0.5185185185185186,0.2912884433003659
image,116,0.0,0.0,0.0
image,121,0.0,0.27272727272727276,0.1859715341668633
image,123,0.0,0.0,0.0
image,114,1.0,1.0,0.13686131386861317
image,124,0.0,0.0,0.0
image,122,0.0,0.0,0.2981505102040816
image,126,0.0,0.5454545454545454,0.21918402777777782
image,128,0.0,0.11538461538461539,0.09225092250922512
image,127,0.0,0.4444444444444445,0.4098538823813549
image,129,0.0,0.3,0.5139991977537104
image,130,0.0,0.11764705882352941,0.0904977375565611
image,133,0.0,0.0,0.0
image,118,0.0,0.16666666666666666,0.1378319300518135
image,132,0.0,0.09999999999999999,0.11627906976744189
image,134,0.0,0.09523809523809523,0.01915708812260537
image,137,0.0,0.2857142857142857,0.311435115356684
image,125,0.0,0.6511627906976744,0.5543946932006634
image,106,0.0,0.4,0.2237358686911689
image,131,0.0,0.2040816326530612,0.19199395770392755
image,138,0.0,0.3373493975903614,0.3004761626358493
image,139,0.0,0.2894736842105263,0.34693176697587536
image,103,0.0,0.0,0.04901960784313726
image,141,0.0,0.36111111111111116,0.3202616605907806
image,136,0.0,0.0,0.029585798816568056
image,140,0.0,0.14814814814814814,0.2639673346044537
image,142,0.0,0.761904761904762,0.30622556126707967
image,145,0.0,0.2941176470588235,0.2597670384402538
image,144,0.0,0.18918918918918917,0.1943381519274376
image,146,0.0,0.15384615384615383,0.12280701754385967
image,143,0.0,0.4230769230769231,0.4806687565308255
image,147,0.0,0.0,0.0
image,148,0.0,0.0,0.0
image,149,0.0,0.0,0.0
image,135,0.0,0.2,0.18866764995083582
