Subfolder,Index,Exact Match,F1-Score,METEOR
text,9,0.0,0.0,0.040322580645161296
text,8,0.0,0.0,0.0
text,11,0.0,0.0,0.0
text,10,0.0,0.0,0.0
text,6,0.0,0.28571428571428575,0.24820841361788004
text,3,0.0,0.28865979381443296,0.1919191919191919
text,2,0.0,0.09677419354838711,0.10183299389002036
text,5,0.0,0.19047619047619044,0.19214771412037038
text,1,0.0,0.0,0.0
text,7,0.0,0.47058823529411764,0.4134412385643913
text,4,0.0,0.07017543859649124,0.09505703422053234
text,0,0.0,0.0,0.0
text,12,0.0,0.0,0.0
text,14,0.0,0.10810810810810811,0.17695473251028807
text,16,0.0,0.10344827586206896,0.08196721311475413
text,21,0.0,0.0,0.0
text,19,1.0,1.0,0.14097744360902256
text,18,0.0,0.0,0.0
text,17,0.0,0.0,0.0
text,15,1.0,1.0,0.05813953488372094
text,20,0.0,0.0,0.0
text,13,0.0,0.18823529411764703,0.21757843970378882
text,23,0.0,0.1020408163265306,0.12286324786324787
text,26,0.0,0.23255813953488377,0.2495515458478422
text,24,0.0,0.24390243902439027,0.14059753954305798
text,22,0.0,0.5555555555555555,0.5179481347910609
text,25,0.0,0.14285714285714285,0.47446808510638305
text,29,0.0,0.2727272727272727,0.4836094744750683
text,31,0.0,0.1904761904761905,0.2618612633560317
text,28,0.0,0.06451612903225806,0.05555555555555555
text,32,0.0,0.6515151515151515,0.5341457489878543
text,27,0.0,0.3255813953488372,0.2741552193821365
text,35,0.0,0.5454545454545454,0.27940220922677067
text,37,0.0,0.24242424242424243,0.3691520467836258
text,34,0.0,0.5882352941176471,0.5841121495327104
text,36,0.0,0.0,0.07267441860465118
text,33,0.0,0.11764705882352942,0.12960148598446472
text,38,0.0,0.08333333333333333,0.03623188405797102
text,39,0.0,0.22222222222222224,0.2368827160493827
text,40,0.0,0.13793103448275862,0.1304235537190083
text,43,0.0,0.23529411764705882,0.19531250000000003
text,41,0.0,0.19047619047619044,0.18028846153846156
text,45,0.0,0.0,0.07042253521126762
text,46,0.0,0.0,0.0
text,42,0.0,0.6486486486486486,0.5771377060439562
text,44,0.0,0.16666666666666669,0.0602409638554217
text,30,0.0,0.0,0.0
text,48,0.0,0.0,0.0
text,47,0.0,0.2745098039215686,0.2837328767123288
text,49,0.0,0.0,0.0
text,50,0.0,0.25641025641025644,0.22495342140921415
text,51,0.0,0.4615384615384615,0.350015006002401
text,55,0.0,0.12121212121212122,0.08264462809917356
text,52,0.0,0.6666666666666665,0.35715328680314234
text,53,0.0,0.2978723404255319,0.3558957048073566
text,54,0.0,0.1875,0.31824922482361934
text,59,0.0,0.0,0.0
text,58,0.0,0.0,0.0
text,60,0.0,0.4923076923076923,0.5006095459361477
text,56,0.0,0.0,0.0
text,63,0.0,0.4230769230769231,0.2769454008431573
text,57,0.0,0.0,0.04237288135593221
text,64,0.0,0.5555555555555556,0.5490998297302313
text,61,0.0,0.16666666666666666,0.36820705581761004
text,65,0.0,0.42553191489361697,0.4344891899187711
text,68,0.0,0.0,0.033112582781456956
text,66,0.0,0.4444444444444445,0.4002415458937198
text,67,0.0,0.0,0.0
text,69,0.0,0.0,0.0
text,70,0.0,0.0,0.0
text,62,0.0,0.16279069767441862,0.2821017474801694
text,74,0.0,0.0,0.0
text,71,0.0,0.0,0.02840909090909091
text,76,0.0,0.2518518518518518,0.2548209366391185
text,72,0.0,0.6285714285714287,0.5584615384615385
text,73,0.0,0.39999999999999997,0.2900604686318973
text,78,0.0,0.6923076923076924,0.5743835995936837
text,77,0.0,0.1651376146788991,0.18101785140445967
text,75,0.0,0.0,0.0
text,80,0.0,0.043478260869565216,0.05154639175257733
text,82,0.0,0.0,0.0
text,83,0.0,0.0,0.0
text,81,0.0,0.0,0.0
text,85,0.0,0.372093023255814,0.22730760704602423
text,84,0.0,0.0,0.0
text,91,0.0,0.40816326530612246,0.2978831284066422
text,89,0.0,0.48,0.5468926553672316
text,86,0.0,0.22641509433962265,0.2361111111111111
text,90,0.0,0.38095238095238104,0.4261573607471612
text,92,0.0,0.5517241379310345,0.542198847983972
text,88,0.0,0.5806451612903226,0.5738950550980627
text,87,0.0,0.14285714285714285,0.16533333333333336
text,93,0.0,0.6274509803921569,0.48631123919308356
text,79,0.0,0.38095238095238093,0.33139843362515436
text,94,0.0,0.375,0.275448404379222
text,96,0.0,0.23255813953488372,0.3348456880638984
text,97,0.0,0.0851063829787234,0.16756756756756758
text,100,0.0,0.0,0.0
text,95,0.0,0.06382978723404255,0.14037735849056604
text,104,0.0,0.0,0.0
text,101,0.0,0.0,0.05617977528089889
text,103,0.0,0.0,0.0
text,99,0.0,0.0,0.0
text,102,0.0,0.0,0.0
text,106,0.0,0.39999999999999997,0.24344763286025067
text,98,0.0,0.2,0.1149425287356322
text,105,0.0,0.24000000000000002,0.335742246311352
text,107,0.0,0.1951219512195122,0.22324025596276906
text,108,0.0,0.37837837837837834,0.2595336076817559
text,114,0.0,0.0,0.054347826086956534
text,109,0.0,0.5161290322580646,0.3157155456832064
text,113,0.0,0.0,0.0
text,110,0.0,0.0,0.0
text,112,0.0,0.0,0.025773195876288665
text,111,0.0,0.10526315789473685,0.13114754098360656
text,116,0.0,0.0,0.0
text,119,0.0,0.0,0.0
text,117,0.0,0.56,0.4366998897563391
text,115,0.0,0.0,0.0
text,120,0.0,0.39999999999999997,0.33131841561524605
text,118,0.0,0.10526315789473685,0.15421195652173914
text,121,0.0,0.26666666666666666,0.3036734693877551
text,124,0.0,0.0,0.03875968992248063
text,122,0.0,0.0,0.05494505494505495
text,125,0.0,0.8666666666666666,0.6525312294543065
text,129,0.0,0.3,0.4700081215918321
text,128,0.0,0.08,0.07246376811594203
text,127,0.0,0.7058823529411764,0.4913725146711045
text,132,0.0,0.1,0.1435705368289638
text,135,0.0,0.12244897959183673,0.176303317535545
text,133,0.0,0.0,0.0
text,130,0.0,0.0,0.04777070063694268
text,131,0.0,0.5294117647058825,0.31282737748806894
text,123,0.0,0.0,0.0
text,134,0.0,0.0,0.04255319148936171
text,139,0.0,0.28571428571428575,0.26704940848990955
text,140,0.0,0.2711864406779661,0.22268987170465004
text,137,0.0,0.45161290322580644,0.4430481283422461
text,138,0.0,0.4444444444444444,0.3998704749083381
text,136,0.0,0.04081632653061224,0.06666666666666668
text,126,0.0,0.2857142857142857,0.22544642857142866
text,145,0.0,0.22727272727272727,0.27270286396181387
text,143,0.0,0.5116279069767442,0.4522225179664626
text,141,0.0,0.4225352112676056,0.3737541744429088
text,147,0.0,0.0,0.0
text,142,0.0,0.41666666666666663,0.29275618374558304
text,148,0.0,0.0,0.04587155963302753
text,146,0.0,0.4,0.31405472636815923
text,144,0.0,0.28125000000000006,0.23783025958258655
text,149,0.0,0.0,0.044247787610619475
