Subfolder,Index,Exact Match,F1-Score,METEOR
text,0,0.0,0.0,0.0
text,1,0.0,0.0,0.040650406504065054
text,2,0.0,0.09302325581395349,0.12761044176706823
text,3,0.0,0.28125,0.1923076923076923
text,4,0.0,0.0,0.11682242990654206
text,5,0.0,0.27450980392156865,0.20377204279770159
text,6,0.0,0.3880597014925373,0.27442968238749643
text,7,0.0,0.35897435897435903,0.28555810079133687
text,8,0.0,0.0,0.0
text,9,0.0,0.0,0.0
text,10,0.0,0.0,0.0
text,11,0.0,0.0,0.0
text,12,0.0,0.0,0.0
text,13,0.0,0.2727272727272727,0.2431117021276596
text,14,0.0,0.28571428571428575,0.3073224245406824
text,15,1.0,1.0,0.05813953488372094
text,16,0.0,0.15384615384615383,0.07968127490039842
text,17,0.0,0.0,0.0
text,18,0.0,0.0,0.0
text,19,1.0,1.0,0.12668918918918923
text,20,0.0,0.0,0.04901960784313726
text,21,0.0,0.0,0.0
text,22,0.0,0.46753246753246747,0.5118616249807899
text,23,0.0,0.3243243243243243,0.16129441624365484
text,24,0.0,0.18181818181818182,0.13686131386861314
text,25,0.0,0.14285714285714285,0.2333470394736842
text,26,0.0,0.15384615384615383,0.17405063291139242
text,27,0.0,0.29629629629629634,0.2094287496658052
text,28,0.0,0.3076923076923077,0.18701267056530216
text,29,0.0,0.0,0.13207547169811323
text,30,0.0,0.0,0.03759398496240602
text,31,0.0,0.14634146341463414,0.2754865835222978
text,32,0.0,0.6493506493506493,0.6071522615255758
text,33,0.0,0.15151515151515152,0.4847097658196314
text,34,0.0,0.7906976744186046,0.6157661290322581
text,35,0.0,0.5714285714285713,0.22119341563786013
text,36,1.0,1.0,0.09057971014492755
text,37,0.0,0.23529411764705882,0.3270725388601036
text,38,0.0,0.0,0.0
text,39,0.0,0.25,0.14423076923076925
text,40,0.0,0.36363636363636365,0.1564912280701755
text,41,0.0,0.24242424242424246,0.15889830508474578
text,42,0.0,0.3870967741935483,0.4084198385236449
text,43,0.0,0.5,0.1284246575342466
text,44,0.0,0.16666666666666669,0.04273504273504274
text,45,0.0,0.0,0.05376344086021507
text,46,0.0,0.0,0.0
text,47,0.0,0.17391304347826086,0.2636290065478089
text,48,1.0,1.0,0.1019021739130435
text,49,0.0,0.0,0.0
text,50,0.0,0.11428571428571427,0.2367612293144208
text,51,0.0,0.5142857142857143,0.3928571428571428
text,52,0.0,0.6428571428571429,0.4044087007250604
text,53,0.0,0.30303030303030304,0.40094747397904495
text,54,0.0,0.25,0.27125409591897537
text,55,0.0,0.09090909090909091,0.12875536480686695
text,56,0.0,0.0,0.0
text,57,0.0,0.0,0.03649635036496351
text,58,0.0,0.0,0.05813953488372094
text,59,0.0,0.0,0.0
text,60,0.0,0.46875,0.43064589829779976
text,61,0.0,0.15384615384615383,0.23085558687240243
text,62,0.0,0.4583333333333333,0.4268099478268385
text,63,0.0,0.2162162162162162,0.31501102476649795
text,64,0.0,0.5517241379310345,0.48479373682625715
text,65,0.0,0.4782608695652174,0.33820908042361336
text,66,0.0,0.6153846153846153,0.42729447312098706
text,67,0.0,0.0,0.0
text,68,0.0,0.0,0.03030303030303031
text,69,0.0,0.0,0.0
text,70,0.0,0.0,0.0
text,71,1.0,1.0,0.10714285714285718
text,72,0.0,0.30769230769230765,0.44633478391356535
text,73,0.0,0.3111111111111111,0.3092081161506771
text,74,0.0,0.0,0.0
text,75,0.0,0.0,0.0
text,76,0.0,0.14705882352941177,0.22457067371202116
