Subfolder,Index,Exact Match,F1-Score,METEOR,BERTScore
hybrid,0,0.0,1.0,0.3848946986201888,0.9176715612411499
hybrid,1,0.0,0.0,0.0,0.265430748462677
hybrid,2,1.0,1.0,0.15889830508474578,0.9999997019767761
hybrid,3,1.0,1.0,0.14534883720930236,0.9999996423721313
hybrid,4,0.0,0.0,0.03333333333333334,0.7472025156021118
hybrid,5,0.0,0.0,0.0574712643678161,0.7977128624916077
hybrid,6,1.0,1.0,0.044642857142857144,1.0000001192092896
hybrid,8,0.0,0.0,0.03759398496240602,0.815204381942749
hybrid,9,1.0,1.0,0.04310344827586207,1.0
hybrid,10,0.0,1.0,0.0,0.5705873966217041
hybrid,11,1.0,1.0,0.04000000000000001,1.0000003576278687
hybrid,12,0.0,0.0,0.0,0.24072952568531036
hybrid,13,0.0,0.0,0.0,0.22453740239143372
hybrid,14,0.0,0.0,0.0,0.31384915113449097
hybrid,15,1.0,1.0,0.15,1.000000238418579
hybrid,16,0.0,0.6666666666666666,0.11867088607594937,0.7958903312683105
hybrid,17,1.0,1.0,0.29296875000000006,1.0
hybrid,18,0.0,0.0,0.0,0.28018200397491455
hybrid,19,0.0,0.6666666666666666,0.09101941747572817,0.8219997882843018
hybrid,20,0.0,0.0,0.0,0.31644412875175476
hybrid,21,1.0,1.0,0.2088258471237195,1.0
hybrid,22,0.0,0.0,0.0,0.27527928352355957
hybrid,23,0.0,0.0,0.044247787610619475,0.7660038471221924
hybrid,25,1.0,1.0,0.14648437500000003,1.0000001192092896
hybrid,26,1.0,1.0,0.14880952380952384,1.0000003576278687
hybrid,27,1.0,1.0,0.039682539682539694,0.9999998807907104
hybrid,28,0.0,0.0,0.0,0.2937884032726288
hybrid,29,1.0,1.0,0.03571428571428572,1.0000001192092896
hybrid,30,1.0,1.0,0.15625000000000006,1.000000238418579
hybrid,31,1.0,1.0,0.18564356435643567,1.0
hybrid,32,1.0,1.0,0.22321428571428575,1.0
hybrid,33,0.0,0.0,0.03448275862068966,0.2858422100543976
hybrid,34,0.0,0.8,0.15243902439024393,0.8047745823860168
hybrid,35,1.0,1.0,0.053191489361702135,1.000000238418579
hybrid,36,0.0,0.0,0.0,0.8214144110679626
hybrid,37,0.0,0.0,0.0,0.5050490498542786
hybrid,38,1.0,1.0,0.04098360655737705,0.9999997615814209
hybrid,39,1.0,1.0,0.07978723404255321,1.0000001192092896
hybrid,40,0.0,0.0,0.0,0.48902949690818787
hybrid,41,1.0,1.0,0.3387755102040817,1.0
hybrid,42,0.0,0.5,0.04132231404958678,0.9668002128601074
hybrid,43,0.0,0.0,0.0,0.2502680718898773
hybrid,44,0.0,0.6666666666666666,0.16592920353982304,0.8066821098327637
hybrid,45,1.0,1.0,0.04347826086956522,1.0
hybrid,46,0.0,0.0,0.03937007874015749,0.2502649128437042
hybrid,47,0.0,0.0,0.0,0.46344056725502014
hybrid,48,0.0,0.6666666666666666,0.12931034482758624,0.7971328496932983
hybrid,49,0.0,0.0,0.03937007874015749,0.617067813873291
hybrid,50,0.0,0.0,0.0,0.21885457634925842
hybrid,51,1.0,1.0,0.11432926829268293,0.9999997615814209
hybrid,52,1.0,1.0,0.13686131386861317,0.9999998807907104
hybrid,53,1.0,1.0,0.053191489361702135,0.9999998807907104
hybrid,54,0.0,0.8,0.11227544910179642,0.8118776679039001
hybrid,55,1.0,1.0,0.18203883495145634,1.0
hybrid,56,0.0,0.0,0.023041474654377885,0.8867676258087158
hybrid,57,0.0,0.0,0.02941176470588236,0.5168407559394836
hybrid,58,0.0,0.0,0.0,0.24841856956481934
hybrid,59,1.0,1.0,0.09920634920634921,0.9999998807907104
hybrid,60,1.0,1.0,0.14097744360902256,1.0000001192092896
hybrid,61,0.0,0.6666666666666666,0.03571428571428572,0.4572257697582245
hybrid,62,0.0,0.0,0.0,0.2623361051082611
hybrid,63,1.0,1.0,0.12931034482758624,1.0
hybrid,64,1.0,1.0,0.15756302521008408,1.0000003576278687
hybrid,65,0.0,0.0,0.0,0.6969863772392273
