Subfolder,Index,Exact Match,F1-Score,METEOR
hybrid,0,0.0,0.4,0.3901611535199322
hybrid,1,1.0,1.0,0.17688679245283023
hybrid,2,1.0,1.0,0.24038461538461542
hybrid,3,1.0,1.0,0.18382352941176472
hybrid,4,0.0,0.14285714285714288,0.13786764705882357
hybrid,5,0.0,0.13333333333333333,0.13586956521739132
hybrid,6,1.0,1.0,0.05208333333333335
hybrid,7,0.0,0.2222222222222222,0.07751937984496125
hybrid,8,0.0,0.0,0.04347826086956522
hybrid,9,1.0,1.0,0.04587155963302753
hybrid,10,0.0,1.0,0.0
hybrid,11,0.0,0.0,0.0
hybrid,12,0.0,0.0,0.0
hybrid,13,1.0,1.0,0.15756302521008408
hybrid,14,0.0,0.05882352941176471,0.0318471337579618
hybrid,15,0.0,0.8,0.08130081300813011
hybrid,16,0.0,0.6666666666666666,0.07772020725388602
hybrid,17,0.0,0.0,0.13992537313432837
hybrid,18,0.0,0.0,0.030674846625766878
hybrid,19,0.0,0.2666666666666667,0.1644941030415891
hybrid,20,0.0,1.0,0.09174311926605506
hybrid,21,0.0,0.8,0.07633587786259544
hybrid,22,0.0,0.3076923076923077,0.05050505050505052
hybrid,23,0.0,0.0,0.055555555555555566
hybrid,24,0.0,0.16666666666666669,0.13020833333333334
hybrid,25,0.0,0.6666666666666666,0.04629629629629631
hybrid,26,0.0,0.2666666666666667,0.11574074074074076
hybrid,27,1.0,1.0,0.04273504273504274
hybrid,28,0.0,0.0,0.0
hybrid,29,1.0,1.0,0.03676470588235295
hybrid,30,0.0,0.0,0.29296875000000006
hybrid,31,0.0,0.0,0.04464285714285715
hybrid,32,0.0,1.0,0.08695652173913045
hybrid,33,0.0,0.08333333333333333,0.04273504273504274
hybrid,34,0.0,0.0,0.03623188405797102
hybrid,35,1.0,1.0,0.06250000000000001
hybrid,36,0.0,0.0,0.0
hybrid,37,0.0,0.0,0.0
hybrid,38,0.0,0.8571428571428571,0.07142857142857145
hybrid,39,0.0,0.0,0.16592920353982304
hybrid,40,0.0,0.0,0.0
hybrid,41,1.0,1.0,0.4882352941176471
hybrid,42,0.0,0.14285714285714285,0.04166666666666668
hybrid,43,0.0,0.4444444444444445,0.30045351473922904
hybrid,44,0.0,0.1111111111111111,0.14763779527559057
hybrid,45,1.0,1.0,0.05494505494505496
hybrid,46,1.0,1.0,0.27777777777777785
hybrid,47,0.0,1.0,0.0
hybrid,48,0.0,0.6666666666666666,0.05000000000000001
hybrid,49,0.0,1.0,0.03355704697986578
hybrid,50,1.0,1.0,0.1602564102564103
hybrid,51,0.0,1.0,0.07042253521126762
hybrid,52,1.0,1.0,0.15120967741935487
hybrid,53,1.0,1.0,0.048543689320388356
hybrid,54,0.0,0.0,0.045871559633027525
hybrid,55,0.0,0.1111111111111111,0.12500000000000003
hybrid,56,0.0,0.0,0.03703703703703705
hybrid,57,0.0,0.0,0.02747252747252748
hybrid,58,0.0,0.2857142857142857,0.17361111111111116
hybrid,59,0.0,1.0,0.08771929824561404
hybrid,60,0.0,0.18181818181818182,0.15243902439024395
hybrid,61,0.0,0.21052631578947367,0.16233766233766236
hybrid,62,0.0,1.0,0.1298701298701299
hybrid,63,0.0,0.0,0.03816793893129772
hybrid,64,0.0,1.0,0.040322580645161296
hybrid,65,0.0,0.0,0.0
hybrid,66,0.0,0.8,0.061728395061728406
hybrid,67,1.0,1.0,0.15368852459016397
hybrid,68,1.0,1.0,0.22321428571428575
hybrid,69,0.0,0.33333333333333337,0.2373417721518988
hybrid,70,0.0,0.0,0.02840909090909091
hybrid,71,1.0,1.0,0.05494505494505496
hybrid,72,0.0,0.2222222222222222,0.15756302521008408
hybrid,73,0.0,0.6666666666666666,0.06849315068493152
hybrid,74,1.0,1.0,0.05555555555555556
hybrid,75,0.0,0.8,0.13636363636363638
hybrid,76,1.0,1.0,0.1602564102564103
hybrid,77,0.0,0.0,0.0
hybrid,78,0.0,0.125,0.03472222222222223
hybrid,79,0.0,0.0,0.0
hybrid,80,1.0,1.0,0.26785714285714296
hybrid,81,0.0,0.13333333333333333,0.03448275862068966
hybrid,82,0.0,0.375,0.15120967741935487
hybrid,83,0.0,0.0,0.0
hybrid,84,0.0,0.28571428571428575,0.05050505050505051
hybrid,85,0.0,0.8,0.15306122448979592
hybrid,86,0.0,0.14285714285714288,0.14097744360902256
hybrid,87,0.0,0.19999999999999998,0.14880952380952384
hybrid,88,0.0,0.15384615384615385,0.13786764705882357
hybrid,89,0.0,0.3636363636363636,0.17361111111111116
hybrid,90,0.0,0.0,0.0
hybrid,91,0.0,0.33333333333333337,0.22825150732127483
hybrid,92,0.0,1.0,0.08474576271186442
hybrid,93,0.0,1.0,0.04716981132075473
hybrid,94,0.0,0.0,0.04310344827586207
hybrid,95,0.0,0.0,0.0
hybrid,96,1.0,1.0,0.042016806722689086
hybrid,97,0.0,0.11764705882352941,0.1752336448598131
hybrid,98,0.0,1.0,0.05263157894736843
hybrid,99,0.0,1.0,0.27686403508771934
hybrid,100,0.0,0.8,0.055555555555555566
hybrid,101,0.0,0.0,0.028089887640449444
hybrid,102,0.0,0.13333333333333333,0.18028846153846156
hybrid,103,0.0,0.14285714285714285,0.07299270072992702
hybrid,104,0.0,0.0,0.0
hybrid,105,0.0,1.0,0.03787878787878789
hybrid,106,0.0,0.3636363636363636,0.25166191832858503
hybrid,107,0.0,0.42857142857142855,0.19761372110365405
hybrid,108,0.0,1.0,0.09900990099009903
hybrid,109,0.0,0.0,0.0
hybrid,110,0.0,0.6666666666666666,0.07692307692307693
hybrid,111,1.0,1.0,0.20030234315948606
hybrid,112,0.0,1.0,0.04545454545454546
hybrid,113,0.0,0.5333333333333333,0.32337662337662343
hybrid,114,0.0,0.18181818181818182,0.05000000000000001
hybrid,115,0.0,1.0,0.04761904761904763
hybrid,116,0.0,0.4615384615384615,0.2605703048180925
