Subfolder,Index,Exact Match,F1-Score,METEOR,BERTScore
hybrid,0,0.0,1.0,0.4298459042984591,0.9176715612411499
hybrid,1,0.0,0.0,0.03333333333333334,0.8835481405258179
hybrid,2,1.0,1.0,0.1284246575342466,0.9999997019767761
hybrid,3,0.0,0.0,0.0,0.24846400320529938
hybrid,4,0.0,0.0,0.026178010471204195,0.6648397445678711
hybrid,5,1.0,1.0,0.14097744360902256,1.0
hybrid,6,1.0,1.0,0.03125000000000001,1.0000001192092896
hybrid,7,0.0,0.0,0.0,0.298524409532547
hybrid,8,0.0,0.0,0.0,0.29378917813301086
hybrid,9,0.0,0.0,0.0,0.5458073019981384
hybrid,10,0.0,1.0,0.0,0.5705873966217041
hybrid,11,0.0,0.0,0.0,0.9494805335998535
hybrid,12,0.0,0.0,0.0,0.2879921495914459
hybrid,13,1.0,1.0,0.09715025906735754,1.0000001192092896
hybrid,14,1.0,1.0,0.06578947368421054,1.0000001192092896
hybrid,15,0.0,0.8,0.16447368421052633,0.8362147808074951
hybrid,16,1.0,1.0,0.14648977335544502,1.0
hybrid,17,1.0,1.0,0.12335526315789476,1.0
hybrid,18,0.0,0.0,0.03012048192771085,0.4906173050403595
hybrid,19,0.0,0.8,0.18635724331926867,0.9217157959938049
hybrid,20,0.0,0.0,0.03012048192771085,0.7310620546340942
hybrid,21,1.0,1.0,0.20447530864197536,1.0
hybrid,22,0.0,0.0,0.0,0.3098590672016144
hybrid,23,0.0,0.0,0.03676470588235295,0.7660038471221924
hybrid,24,1.0,1.0,0.1284246575342466,1.000000238418579
hybrid,25,0.0,0.6666666666666666,0.09816753926701573,0.817721426486969
hybrid,26,1.0,1.0,0.10080645161290325,1.0000003576278687
hybrid,27,0.0,0.0,0.0,0.6303400993347168
hybrid,28,0.0,0.0,0.0,0.519403338432312
hybrid,29,1.0,1.0,0.03225806451612904,1.0000001192092896
hybrid,30,0.0,0.0,0.03125000000000001,0.7279040813446045
hybrid,31,0.0,0.0,0.035714285714285726,0.6090449094772339
hybrid,32,1.0,1.0,0.08761682242990655,1.0
hybrid,33,0.0,0.0,0.0,0.38535448908805847
hybrid,34,1.0,1.0,0.17320261437908502,0.9999997019767761
hybrid,35,0.0,0.0,0.0,0.682671308517456
hybrid,36,0.0,0.0,0.0,0.5852554440498352
hybrid,37,0.0,0.0,0.0,0.5926284790039062
hybrid,38,0.0,0.0,0.0,0.4807315170764923
hybrid,39,0.0,0.8,0.14648437500000003,0.838333010673523
hybrid,40,0.0,0.0,0.0,0.48902949690818787
hybrid,41,1.0,1.0,0.3661764705882354,1.0
hybrid,42,0.0,0.28571428571428575,0.027932960893854754,0.6897149682044983
hybrid,43,1.0,1.0,0.18635724331926867,1.000000238418579
hybrid,44,0.0,0.0,0.029585798816568053,0.7098661661148071
hybrid,45,1.0,1.0,0.04716981132075473,1.0
hybrid,46,1.0,1.0,0.29444444444444445,1.0000001192092896
hybrid,47,0.0,0.8,0.0,0.773770809173584
hybrid,48,0.0,0.6666666666666666,0.16891891891891897,0.7971328496932983
hybrid,49,1.0,1.0,0.16447368421052633,1.0000001192092896
hybrid,50,1.0,1.0,0.12096774193548389,0.9999999403953552
hybrid,51,0.0,0.8,0.12335526315789476,0.8801512122154236
hybrid,52,0.0,0.0,0.03521126760563381,0.3682750165462494
hybrid,53,0.0,0.0,0.0,0.7710733413696289
hybrid,54,0.0,0.0,0.0,0.2446753978729248
hybrid,55,1.0,1.0,0.10080645161290325,1.0
hybrid,56,0.0,0.0,0.027322404371584706,0.8867676258087158
hybrid,57,0.0,0.6666666666666666,0.03144654088050315,0.9133208394050598
hybrid,58,0.0,0.0,0.016722408026755856,0.6688321828842163
hybrid,59,1.0,1.0,0.2533783783783784,0.9999998807907104
hybrid,60,0.0,0.0,0.024752475247524757,0.5307290554046631
hybrid,61,0.0,0.5,0.2259036144578314,0.8608239889144897
hybrid,62,0.0,0.8,0.02857142857142858,0.8763487339019775
hybrid,63,0.0,0.0,0.03144654088050315,0.9642889499664307
hybrid,64,0.0,0.6666666666666666,0.13686131386861317,0.8076528310775757
hybrid,65,0.0,0.0,0.0,0.3791730999946594
hybrid,66,0.0,0.0,0.0,0.2643066346645355
hybrid,67,1.0,1.0,0.15368852459016397,1.0
hybrid,68,0.0,0.0,0.0,0.5283923745155334
hybrid,69,0.0,0.8,0.1785714285714286,0.853783130645752
hybrid,70,0.0,0.0,0.03649635036496351,0.8656975030899048
hybrid,71,0.0,1.0,0.03816793893129772,0.6702207326889038
hybrid,72,1.0,1.0,0.1630434782608696,0.9999998211860657
hybrid,73,0.0,0.0,0.0,0.5456773042678833
hybrid,74,0.0,0.6666666666666666,0.042372881355932215,0.5022198557853699
hybrid,75,0.0,0.3333333333333333,0.1098901098901099,0.889595627784729
hybrid,76,0.0,1.0,0.03816793893129772,0.7519863843917847
hybrid,77,0.0,0.3333333333333333,0.02450980392156863,0.6051909327507019
hybrid,78,0.0,0.0,0.0,0.36913999915122986
hybrid,79,0.0,0.0,0.0,0.5194709897041321
hybrid,80,0.0,0.0,0.02840909090909091,0.8856392502784729
hybrid,81,1.0,1.0,0.04347826086956522,0.9999999403953552
hybrid,82,0.0,0.0,0.03623188405797102,0.7638984322547913
hybrid,83,0.0,0.0,0.0,0.22521421313285828
hybrid,84,0.0,0.25,0.03355704697986578,0.8209160566329956
hybrid,85,0.0,0.8,0.1879084967320262,0.8793978691101074
hybrid,86,0.0,0.0,0.0,0.575678825378418
hybrid,87,1.0,1.0,0.10653409090909091,0.9999998807907104
hybrid,88,0.0,0.0,0.0,0.36257651448249817
hybrid,89,1.0,1.0,0.19132653061224492,1.0000004768371582
hybrid,90,0.0,0.0,0.03546099290780143,0.7184816598892212
hybrid,91,0.0,0.0,0.04,0.6469489336013794
hybrid,92,1.0,1.0,0.11718750000000003,1.000000238418579
hybrid,93,0.0,0.8,0.04166666666666668,0.883011519908905
hybrid,94,0.0,0.3333333333333333,0.07194244604316548,0.8277875185012817
hybrid,95,0.0,0.0,0.0,0.3756653964519501
hybrid,96,0.0,0.0,0.0,0.4762696921825409
hybrid,97,1.0,1.0,0.16447368421052633,1.0000004768371582
hybrid,98,0.0,0.6666666666666666,0.09765625000000003,0.8125991225242615
hybrid,99,0.0,0.8,0.20998677248677253,0.7672158479690552
hybrid,100,0.0,0.8,0.05050505050505051,0.8071787357330322
hybrid,101,0.0,0.0,0.08021390374331552,0.6226171255111694
hybrid,102,1.0,1.0,0.14423076923076927,1.0
hybrid,103,0.0,0.0,0.0,0.2987825572490692
hybrid,104,0.0,0.6666666666666666,0.04761904761904763,0.517845869064331
hybrid,105,0.0,0.6666666666666666,0.10080645161290325,0.8091360926628113
hybrid,106,0.0,0.0,0.0,0.279531866312027
hybrid,107,0.0,0.4,0.05952380952380953,0.7744376063346863
hybrid,108,0.0,0.0,0.03164556962025317,0.909217119216919
hybrid,109,1.0,1.0,0.034965034965034975,0.9999998211860657
hybrid,110,0.0,0.5,0.061349693251533756,0.9712356925010681
hybrid,111,0.0,0.0,0.0,0.30214923620224
hybrid,112,0.0,1.0,0.04273504273504274,0.635594367980957
hybrid,113,1.0,1.0,0.3772727272727273,0.9999998807907104
hybrid,114,1.0,1.0,0.05208333333333335,1.0
hybrid,115,0.0,0.6666666666666666,0.20833333333333337,0.7916440963745117
hybrid,116,0.0,0.0,0.0,0.23326484858989716
hybrid,117,0.0,0.0,0.035714285714285726,0.25256142020225525
hybrid,118,0.0,0.8,0.18028846153846156,0.8287160396575928
hybrid,119,0.0,1.0,0.0746268656716418,0.5547804236412048
hybrid,120,0.0,0.0,0.0,0.28184399008750916
hybrid,121,0.0,0.0,0.08547008547008549,0.7640576958656311
hybrid,122,0.0,0.0,0.0,0.7959907054901123
hybrid,123,0.0,0.0,0.03968253968253969,0.7645655870437622
hybrid,124,0.0,0.0,0.0,0.5631107687950134
hybrid,125,1.0,1.0,0.09816753926701573,0.9999997615814209
hybrid,126,0.0,0.0,0.04464285714285715,0.7871310114860535
hybrid,127,1.0,1.0,0.1752645502645503,1.0000001192092896
hybrid,128,0.0,1.0,0.09057971014492755,0.8672568798065186
hybrid,129,0.0,0.0,0.04385964912280702,0.9174257516860962
hybrid,130,0.0,0.0,0.0,0.5788238644599915
hybrid,131,1.0,1.0,0.13383838383838387,1.0000001192092896
hybrid,132,0.0,0.6666666666666666,0.12755102040816327,0.8053466081619263
hybrid,133,1.0,1.0,0.04672897196261683,0.9999998807907104
hybrid,134,0.0,0.0,0.11627906976744187,0.6710717082023621
hybrid,135,0.0,0.0,0.04807692307692309,0.838289201259613
hybrid,136,1.0,1.0,0.17201834862385323,1.0
hybrid,137,0.0,0.6666666666666666,0.07142857142857144,0.9084377288818359
hybrid,138,0.0,0.0,0.029940119760479045,0.6407061219215393
hybrid,139,0.0,0.0,0.0,0.3378496468067169
hybrid,140,1.0,1.0,0.12583892617449666,0.9999998807907104
hybrid,141,0.0,0.0,0.0,0.42822033166885376
hybrid,142,0.0,0.0,0.049504950495049514,0.6566583514213562
hybrid,143,0.0,0.0,0.0,0.5099308490753174
hybrid,144,0.0,0.0,0.02173913043478261,0.9615689516067505
hybrid,145,0.0,0.0,0.05988023952095809,0.2852073311805725
hybrid,146,0.0,0.8,0.03676470588235295,0.6513381004333496
hybrid,147,0.0,0.0,0.0,0.2654574513435364
hybrid,148,0.0,0.8,0.12500000000000003,0.842974841594696
hybrid,149,1.0,1.0,0.2699829931972789,0.9999998211860657
hybrid,150,0.0,0.0,0.0,0.23136615753173828
hybrid,151,0.0,0.0,0.0,0.30341392755508423
hybrid,152,0.0,0.0,0.11904761904761908,0.5094814896583557
hybrid,153,0.0,0.0,0.0,0.570787250995636
hybrid,154,0.0,0.0,0.0,0.46302369236946106
hybrid,155,1.0,1.0,0.21067415730337083,0.9999996423721313
hybrid,156,0.0,0.0,0.0,0.760948896408081
hybrid,157,0.0,0.4,0.03472222222222223,0.7206586599349976
hybrid,158,0.0,0.5,0.04629629629629631,0.6442524790763855
hybrid,159,1.0,1.0,0.16891891891891897,0.9999998807907104
hybrid,160,1.0,1.0,0.10302197802197804,1.0000001192092896
hybrid,161,0.0,0.0,0.0,0.5880523920059204
hybrid,162,0.0,0.0,0.0,0.2590162754058838
hybrid,163,0.0,0.0,0.04545454545454546,0.9224674701690674
hybrid,164,0.0,0.0,0.0,0.4808318018913269
hybrid,165,0.0,0.8,0.025252525252525256,0.7371736764907837
hybrid,166,0.0,0.0,0.021459227467811162,0.2891092002391815
hybrid,167,1.0,1.0,0.1752336448598131,1.0
hybrid,168,1.0,1.0,0.07295719844357978,1.0000001192092896
hybrid,169,0.0,0.0,0.04587155963302753,0.8750881552696228
hybrid,170,0.0,0.5,0.06060606060606061,0.8982180953025818
hybrid,171,0.0,0.5,0.03649635036496351,0.6378293037414551
hybrid,172,0.0,0.4,0.0,0.5923449993133545
hybrid,173,1.0,1.0,0.11227544910179642,0.9999998807907104
hybrid,174,0.0,0.0,0.033112582781456956,0.8806173801422119
hybrid,175,1.0,1.0,0.12417218543046359,0.9999998807907104
hybrid,176,0.0,0.0,0.04347826086956522,0.7181970477104187
hybrid,177,1.0,1.0,0.13686131386861317,0.9999997019767761
hybrid,178,0.0,0.0,0.0,0.23653514683246613
hybrid,179,0.0,0.6666666666666666,0.03703703703703704,0.782167911529541
hybrid,180,0.0,0.0,0.02873563218390805,0.8711357712745667
hybrid,181,0.0,0.0,0.0,0.3209931254386902
hybrid,182,0.0,0.4,0.030864197530864203,0.7579497694969177
hybrid,183,0.0,0.4,0.11563599798893918,0.7725159525871277
hybrid,184,0.0,0.0,0.04166666666666667,0.6042714715003967
hybrid,185,1.0,1.0,0.11942675159235672,0.9999998807907104
hybrid,186,1.0,1.0,0.05263157894736843,1.0000001192092896
hybrid,187,0.0,0.6666666666666666,0.14648437500000003,0.80661541223526
hybrid,188,0.0,0.0,0.0,0.5560801029205322
hybrid,189,1.0,1.0,0.1320422535211268,1.0000001192092896
hybrid,190,0.0,0.5,0.08333333333333336,0.8175922632217407
hybrid,191,1.0,1.0,0.2230639730639731,0.9999998807907104
hybrid,192,0.0,0.0,0.0,0.27629509568214417
hybrid,193,0.0,0.0,0.0,0.23419150710105896
hybrid,194,0.0,0.0,0.03184713375796179,0.8037049174308777
hybrid,195,1.0,1.0,0.034013605442176874,1.0000001192092896
hybrid,197,0.0,0.0,0.0,0.3333361744880676
hybrid,198,0.0,0.8,0.14312977099236646,0.8093947768211365
hybrid,199,0.0,0.0,0.034722222222222224,0.7333357334136963
hybrid,200,0.0,0.0,0.03289473684210527,0.8414086699485779
hybrid,201,0.0,0.0,0.0,0.6966152787208557
hybrid,202,0.0,0.0,0.0,0.32984286546707153
hybrid,203,1.0,1.0,0.09236453201970446,1.0000001192092896
hybrid,204,0.0,0.0,0.0,0.694317102432251
hybrid,205,0.0,0.0,0.040650406504065054,0.7455587387084961
hybrid,206,0.0,1.0,0.037313432835820906,0.6658930778503418
hybrid,207,0.0,0.0,0.0,0.3333361744880676
hybrid,208,1.0,1.0,0.04424778761061948,0.9999996423721313
hybrid,209,0.0,0.0,0.0,0.4160606265068054
hybrid,210,0.0,0.0,0.0,0.5576356053352356
hybrid,211,0.0,0.0,0.0,0.5699889063835144
hybrid,212,0.0,0.5,0.05617977528089888,0.8963906764984131
hybrid,213,1.0,1.0,0.18564356435643567,0.9999998807907104
