Subfolder,Index,Exact Match,F1-Score,METEOR,BERTScore
image,0,0.0,1.0,0.2844873859366614,0.9176715612411499
image,1,1.0,1.0,0.2373417721518988,0.9999997615814209
image,2,1.0,1.0,0.3125,0.9999997019767761
image,3,1.0,1.0,0.29296875000000006,0.9999996423721313
image,4,1.0,1.0,0.2016129032258065,0.9999998807907104
image,5,1.0,1.0,0.17201834862385323,1.0
image,6,1.0,1.0,0.0892857142857143,1.0000001192092896
image,7,0.0,0.5714285714285715,0.3234880450070324,0.8919628262519836
image,8,0.0,0.0,0.05617977528089889,0.7964783906936646
image,9,1.0,1.0,0.06756756756756759,1.0
image,10,1.0,1.0,0.06666666666666668,1.0000001192092896
image,11,1.0,1.0,0.08196721311475412,1.0000003576278687
image,12,0.0,0.0,0.0,0.8438750505447388
image,13,1.0,1.0,0.2840909090909091,1.0000001192092896
image,14,0.0,0.0,0.04629629629629631,0.43874484300613403
image,15,1.0,1.0,0.2840909090909091,1.000000238418579
image,16,0.0,0.6666666666666666,0.04901960784313727,0.5022929310798645
image,17,1.0,1.0,0.23148148148148148,1.0
image,18,1.0,1.0,0.27985074626865675,0.9999995231628418
image,19,0.0,0.8,0.23437500000000006,0.8222694993019104
image,20,0.0,0.0,0.0,0.6140411496162415
image,21,0.0,0.8,0.22321428571428573,0.821988046169281
image,22,0.0,0.6666666666666666,0.0735294117647059,0.7254128456115723
image,23,0.0,0.0,0.0574712643678161,0.7660038471221924
image,24,1.0,1.0,0.1973684210526316,1.000000238418579
image,25,0.0,1.0,0.05000000000000001,0.6898399591445923
image,26,1.0,1.0,0.15120967741935487,1.0000003576278687
image,27,1.0,1.0,0.07812500000000001,0.9999998807907104
image,28,1.0,1.0,0.06944444444444445,1.000000238418579
image,29,1.0,1.0,0.05494505494505496,1.0000001192092896
image,30,1.0,1.0,0.15243902439024395,1.000000238418579
image,31,0.0,1.0,0.0574712643678161,0.6649796962738037
image,32,1.0,1.0,0.21067415730337083,1.0
image,33,0.0,1.0,0.05050505050505052,0.5711076259613037
image,34,0.0,0.8,0.1602564102564103,0.8047745823860168
image,35,1.0,1.0,0.08196721311475412,1.000000238418579
image,36,0.0,0.0,0.0,0.810052216053009
image,37,0.0,0.0,0.028089887640449444,0.5996353030204773
image,38,1.0,1.0,0.09615384615384617,0.9999997615814209
image,39,1.0,1.0,0.32894736842105265,1.0000001192092896
image,40,1.0,1.0,0.06756756756756759,1.0000001192092896
image,41,0.0,0.0,0.16592920353982302,0.5036892890930176
image,42,0.0,0.5,0.05681818181818182,0.9668002128601074
image,43,0.0,0.5,0.11904761904761905,0.9495761394500732
image,44,0.0,0.6666666666666666,0.21551724137931036,0.8066821098327637
image,45,1.0,1.0,0.09615384615384617,1.0
image,46,1.0,1.0,0.3132387706855792,1.0000001192092896
image,47,1.0,1.0,0.08196721311475412,1.0
image,48,0.0,1.0,0.0735294117647059,0.6268818378448486
image,49,1.0,1.0,0.2533783783783784,1.0000001192092896
image,50,1.0,1.0,0.2533783783783784,0.9999999403953552
image,51,0.0,1.0,0.06493506493506496,0.649225652217865
image,52,1.0,1.0,0.24671052631578952,0.9999998807907104
image,53,1.0,1.0,0.05208333333333335,0.9999998807907104
image,54,0.0,0.8,0.06024096385542169,0.5660632252693176
image,55,1.0,1.0,0.21551724137931036,1.0
image,56,0.0,0.0,0.07042253521126762,0.5588520169258118
