Subfolder,Index,Exact Match,F1-Score,METEOR,BERTScore
image,0,0.0,1.0,0.3947368421052631,0.8155419826507568
image,1,1.0,1.0,0.19329896907216498,0.9999997615814209
image,2,1.0,1.0,0.2884615384615385,0.9999997019767761
image,3,1.0,1.0,0.2533783783783784,0.9999996423721313
image,4,0.0,1.0,0.05050505050505051,0.7110406756401062
image,5,0.0,0.6666666666666666,0.10309278350515466,0.6851967573165894
image,6,1.0,1.0,0.061728395061728406,1.0000001192092896
image,7,0.0,0.6666666666666666,0.21067415730337077,0.9022528529167175
image,8,1.0,1.0,0.39893617021276595,1.000000238418579
image,9,1.0,1.0,0.037313432835820906,1.0
image,10,0.0,0.0,0.0,0.5184709429740906
image,11,0.0,0.6666666666666666,0.0602409638554217,0.6110740303993225
image,12,0.0,0.0,0.0,0.8892298936843872
image,13,1.0,1.0,0.22590361445783141,1.0000001192092896
image,14,0.0,0.0,0.0,0.47814756631851196
image,15,0.0,1.0,0.08928571428571429,0.6248588562011719
image,16,0.0,0.6666666666666666,0.10416666666666667,0.5022929310798645
image,17,0.0,1.0,0.1492537313432836,0.7317756414413452
image,18,0.0,1.0,0.15384615384615385,0.5625545382499695
image,19,0.0,0.6666666666666666,0.2380952380952381,0.5789864659309387
image,20,0.0,1.0,0.1234567901234568,0.6851394772529602
image,21,0.0,0.3333333333333333,0.10309278350515465,0.7850157022476196
image,22,0.0,0.6666666666666666,0.09615384615384617,0.6715950965881348
image,23,0.0,0.0,0.08771929824561404,0.5009690523147583
image,24,0.0,1.0,0.06944444444444446,0.6009656190872192
image,25,0.0,0.6666666666666666,0.12500000000000003,0.7047041654586792
image,26,0.0,1.0,0.11111111111111113,0.6518866419792175
image,27,1.0,1.0,0.11111111111111113,0.9999998807907104
image,28,0.0,0.6666666666666666,0.07936507936507937,0.6431170701980591
image,29,1.0,1.0,0.08196721311475412,1.0000001192092896
image,30,0.0,0.0,0.20604395604395606,0.46130305528640747
image,31,0.0,0.8,0.07812500000000001,0.7432141900062561
image,32,0.0,1.0,0.14084507042253525,0.6749618053436279
image,33,1.0,1.0,0.04000000000000001,0.9999998807907104
image,34,0.0,0.0,0.0,0.4608110785484314
image,35,1.0,1.0,0.06493506493506496,1.000000238418579
image,36,0.0,0.0,0.035211267605633804,0.8037295937538147
image,37,0.0,0.0,0.03703703703703704,0.5050490498542786
image,38,0.0,0.8571428571428571,0.08474576271186442,0.676969587802887
image,39,0.0,0.0,0.21551724137931036,0.5694075226783752
image,40,1.0,1.0,0.08333333333333336,1.0000001192092896
image,41,1.0,1.0,0.3952380952380953,1.0
image,42,0.0,0.5,0.10000000000000002,0.9450780153274536
image,43,0.0,0.4,0.09900990099009903,0.7451832294464111
image,44,0.0,0.6666666666666666,0.1098901098901099,0.6663722395896912
image,45,1.0,1.0,0.07812500000000001,1.0
image,46,1.0,1.0,0.5165692007797271,1.0000001192092896
image,47,0.0,0.0,0.0,0.9233845472335815
image,48,0.0,0.6666666666666666,0.04464285714285715,0.6600161194801331
image,49,0.0,1.0,0.07142857142857145,0.632491409778595
image,50,1.0,1.0,0.26785714285714296,0.9999999403953552
image,51,0.0,0.0,0.0,0.4888044595718384
image,52,1.0,1.0,0.21067415730337083,0.9999998807907104
image,53,1.0,1.0,0.07812500000000001,0.9999998807907104
image,54,0.0,0.8,0.13333333333333333,0.5660632252693176
image,55,0.0,0.0,0.05154639175257733,0.5261860489845276
image,56,0.0,0.0,0.07246376811594205,0.5588520169258118
image,57,0.0,0.8,0.0,0.6471600532531738
image,58,0.0,0.0,0.047846889952153124,0.45291703939437866
image,59,0.0,1.0,0.05000000000000001,0.6888611912727356
image,60,0.0,1.0,0.2631578947368421,0.6186028122901917
image,61,0.0,1.0,0.41341145833333337,0.7904645204544067
image,62,0.0,0.5,0.05882352941176471,0.6501447558403015
image,63,1.0,1.0,0.22321428571428575,1.0
image,64,0.0,0.0,0.0,0.613466739654541
image,65,0.0,0.0,0.0,0.43793633580207825
image,66,0.0,0.8,0.09615384615384617,0.716347336769104
image,67,0.0,0.0,0.04545454545454546,0.3657582402229309
image,68,0.0,0.5,0.06024096385542171,0.881110429763794
image,69,0.0,0.0,0.03968253968253969,0.5667296648025513
image,70,1.0,1.0,0.3348214285714286,1.0000003576278687
image,71,0.0,0.5,0.0,0.9321212768554688
image,72,0.0,1.0,0.11111111111111113,0.6431203484535217
image,73,0.0,0.6666666666666666,0.06666666666666668,0.5824800133705139
image,74,1.0,1.0,0.09803921568627452,1.000000238418579
image,75,0.0,0.8,0.13157894736842105,0.4918767511844635
image,76,1.0,1.0,0.2373417721518988,0.9999998807907104
image,77,0.0,0.4,0.04807692307692308,0.6134459376335144
image,78,0.0,0.6666666666666666,0.06578947368421054,0.5783300399780273
image,79,0.0,0.0,0.0,0.7969949245452881
image,80,0.0,0.0,0.05882352941176471,0.8161425590515137
image,81,1.0,1.0,0.061728395061728406,0.9999999403953552
image,82,0.0,0.0,0.0,0.40190526843070984
image,83,0.0,0.3333333333333333,0.0,0.6901082396507263
image,84,0.0,0.8571428571428571,0.1098901098901099,0.6937499642372131
image,85,0.0,0.0,0.10416666666666667,0.5057142376899719
image,86,0.0,0.0,0.0,0.7278934121131897
image,87,0.0,0.6666666666666666,0.07812500000000001,0.494179368019104
image,88,0.0,1.0,0.1428571428571429,0.5755154490470886
image,89,1.0,1.0,0.340909090909091,1.0000004768371582
image,90,0.0,0.5,0.0,0.7726459503173828
image,91,0.0,0.8,0.11363636363636366,0.570082426071167
image,92,0.0,1.0,0.13333333333333336,0.8079625368118286
image,93,0.0,1.0,0.06493506493506496,0.6878302097320557
image,94,0.0,0.0,0.06250000000000001,0.3971814215183258
image,95,0.0,0.14285714285714288,0.07246376811594205,0.28559789061546326
image,96,1.0,1.0,0.05102040816326532,1.0
image,97,0.0,0.6666666666666666,0.06578947368421054,0.6430431604385376
image,98,0.0,1.0,0.06493506493506496,0.7450533509254456
image,99,1.0,1.0,0.31250000000000006,1.0
image,100,0.0,0.6666666666666666,0.09174311926605506,0.8841210603713989
image,101,0.0,1.0,0.23232323232323235,0.7529807090759277
image,102,0.0,1.0,0.08,0.6639031767845154
image,103,0.0,0.0,0.08064516129032258,0.3453129529953003
image,104,0.0,0.0,0.0,0.8343429565429688
image,105,0.0,1.0,0.03937007874015749,0.6634145379066467
image,106,0.0,0.5,0.08620689655172413,0.7078960537910461
image,107,0.0,0.0,0.5353535353535355,0.4934382140636444
image,108,0.0,0.0,0.07575757575757576,0.518670380115509
image,109,1.0,1.0,0.10204081632653063,0.9999998211860657
image,110,0.0,0.6666666666666666,0.11111111111111113,0.525968074798584
image,111,1.0,1.0,0.38239538239538245,1.0000001192092896
