Subfolder,Index,Exact Match,F1-Score,METEOR
image,0,0.0,0.375,0.4101694915254238
image,1,1.0,1.0,0.23437500000000006
image,2,1.0,1.0,0.22590361445783141
image,3,0.0,0.0,0.03937007874015749
image,4,0.0,1.0,0.06410256410256411
image,5,0.0,0.13333333333333333,0.21067415730337083
image,6,1.0,1.0,0.06666666666666668
image,7,0.0,0.6666666666666666,0.17857142857142858
image,8,0.0,0.0,0.08333333333333333
image,9,1.0,1.0,0.048543689320388356
image,10,0.0,0.0,0.0
image,11,1.0,1.0,0.08474576271186442
image,12,0.0,0.0,0.0
image,13,1.0,1.0,0.23148148148148148
image,14,0.0,0.0,0.0
image,15,0.0,0.8,0.06024096385542171
image,16,0.0,1.0,0.21657250470809797
image,17,0.0,0.2,0.06666666666666668
image,18,0.0,0.16666666666666669,0.18750000000000003
image,19,0.0,0.6666666666666666,0.16949152542372883
image,20,0.0,1.0,0.08474576271186442
image,21,0.0,0.8,0.12931034482758622
image,22,0.0,0.33333333333333337,0.08064516129032259
image,23,0.0,0.0,0.06410256410256411
image,24,0.0,0.16666666666666669,0.22058823529411767
image,25,0.0,0.15384615384615385,0.26041666666666674
image,26,0.0,0.2666666666666667,0.22590361445783141
image,27,1.0,1.0,0.09615384615384617
image,28,0.0,0.6666666666666666,0.08474576271186442
image,29,1.0,1.0,0.06097560975609757
image,30,0.0,0.33333333333333337,0.18382352941176472
image,31,0.0,0.8,0.05494505494505495
image,32,0.0,1.0,0.05681818181818182
image,33,1.0,1.0,0.034965034965034975
image,34,0.0,0.0,0.0
image,35,1.0,1.0,0.0746268656716418
image,36,0.0,0.041666666666666664,0.0
image,37,0.0,0.0,0.0
image,38,0.0,0.8571428571428571,0.08620689655172414
image,39,0.0,0.0,0.0617283950617284
image,40,0.0,0.0,0.0
image,41,0.0,0.5555555555555556,0.40161290322580656
image,42,0.0,0.13333333333333336,0.05494505494505495
image,43,0.0,0.22222222222222224,0.12195121951219512
image,44,0.0,0.13333333333333333,0.17688679245283023
image,45,1.0,1.0,0.12195121951219513
image,46,0.0,0.4,0.36351165980795613
image,47,0.0,0.0,0.0
image,48,0.0,0.6666666666666666,0.0617283950617284
image,49,0.0,1.0,0.055555555555555566
image,50,1.0,1.0,0.23148148148148148
image,51,0.0,1.0,0.07042253521126762
image,52,1.0,1.0,0.18939393939393942
image,53,1.0,1.0,0.05208333333333335
image,54,0.0,0.8,0.1851851851851852
image,55,0.0,0.1111111111111111,0.18382352941176472
image,56,0.0,0.0,0.07812500000000001
image,57,0.0,0.25,0.0574712643678161
image,58,0.0,0.2666666666666667,0.2568493150684932
image,59,0.0,1.0,0.06410256410256411
image,60,0.0,0.18181818181818182,0.22321428571428575
image,61,0.0,0.2857142857142857,0.22522522522522526
image,62,0.0,0.15384615384615385,0.04807692307692309
image,63,0.0,0.0,0.04504504504504506
image,64,0.0,0.1111111111111111,0.199468085106383
image,65,0.0,0.0,0.0
