Subfolder,Index,Exact Match,F1-Score,METEOR,BERTScore
image,0,0.0,1.0,0.4206349206349207,0.9176715612411499
image,1,1.0,1.0,0.2016129032258065,0.9999997615814209
image,2,1.0,1.0,0.13992537313432837,0.9999997019767761
image,3,1.0,1.0,0.13686131386861317,0.9999996423721313
image,4,0.0,0.6666666666666666,0.10838150289017344,0.7747339010238647
image,5,0.0,0.6666666666666666,0.13111888111888115,0.8090943098068237
image,6,1.0,1.0,0.05813953488372094,1.0000001192092896
image,7,1.0,1.0,0.2804232804232805,1.0000001192092896
image,8,1.0,1.0,0.21551724137931036,1.000000238418579
image,9,1.0,1.0,0.04545454545454546,1.0
image,10,1.0,1.0,0.05154639175257733,1.0000001192092896
image,11,0.0,0.6666666666666666,0.04761904761904763,0.6110740303993225
image,12,1.0,1.0,0.06410256410256411,1.0000001192092896
image,13,1.0,1.0,0.23148148148148148,1.0000001192092896
image,14,0.0,0.0,0.03787878787878789,0.43874484300613403
image,15,0.0,0.8,0.17361111111111116,0.8362147808074951
image,16,1.0,1.0,0.25603864734299525,1.0
image,17,0.0,0.8571428571428571,0.08849557522123895,0.9209470152854919
image,18,0.0,0.0,0.05952380952380954,0.34044986963272095
image,19,1.0,1.0,0.2336860670194004,1.0
image,20,0.0,0.6666666666666666,0.23148148148148148,0.8031545877456665
image,21,1.0,1.0,0.23003472222222227,1.0
image,22,0.0,0.6666666666666666,0.05154639175257733,0.6715950965881348
image,23,0.0,0.0,0.0735294117647059,0.7185043096542358
image,24,1.0,1.0,0.27573529411764713,1.000000238418579
image,25,0.0,0.6666666666666666,0.14763779527559057,0.817721426486969
image,26,1.0,1.0,0.18203883495145634,1.0000003576278687
image,27,0.0,0.8,0.061728395061728406,0.7780454158782959
image,28,0.0,0.6666666666666666,0.06944444444444445,0.6431170701980591
image,29,1.0,1.0,0.04901960784313727,1.0000001192092896
image,30,1.0,1.0,0.22321428571428575,1.000000238418579
image,31,0.0,0.8,0.1674107142857143,0.8443692326545715
image,32,1.0,1.0,0.22321428571428575,1.0
image,33,0.0,1.0,0.03937007874015749,0.5711076259613037
image,34,1.0,1.0,0.2652652652652653,0.9999997019767761
image,35,1.0,1.0,0.0602409638554217,1.000000238418579
image,36,0.0,0.0,0.0,0.5974118113517761
image,37,0.0,0.0,0.0,0.37186551094055176
image,38,0.0,0.8571428571428571,0.05154639175257733,0.676969587802887
image,39,0.0,0.8,0.15243902439024395,0.838333010673523
image,40,0.0,0.8,0.04273504273504274,0.7890878319740295
image,41,0.0,0.0,0.35588235294117654,0.4685545563697815
image,42,1.0,1.0,0.21067415730337083,1.0
image,43,1.0,1.0,0.27518172377985467,1.000000238418579
image,44,0.0,0.6666666666666666,0.17361111111111116,0.8066821098327637
image,45,1.0,1.0,0.06849315068493152,1.0
image,46,1.0,1.0,0.32356532356532364,1.0000001192092896
image,47,1.0,1.0,0.05050505050505052,1.0
image,48,0.0,0.5,0.05208333333333334,0.6920211315155029
image,49,1.0,1.0,0.12931034482758624,1.0000001192092896
image,50,1.0,1.0,0.12500000000000003,0.9999999403953552
image,51,1.0,1.0,0.19329896907216498,0.9999997615814209
image,52,1.0,1.0,0.23437500000000006,0.9999998807907104
image,53,0.0,0.5714285714285715,0.0,0.8052699565887451
image,54,1.0,1.0,0.3308364544319601,1.0000001192092896
image,55,0.0,0.0,0.04587155963302753,0.9359835386276245
image,56,1.0,1.0,0.17361111111111116,1.0
image,57,0.0,0.8,0.051020408163265314,0.867898166179657
image,58,1.0,1.0,0.2373417721518988,1.0
image,59,0.0,0.8,0.034965034965034975,0.8533084392547607
image,60,0.0,0.0,0.03937007874015749,0.8562574982643127
image,61,0.0,0.8,0.3779761904761906,0.7573764324188232
image,62,1.0,1.0,0.18564356435643567,1.000000238418579
image,63,1.0,1.0,0.15756302521008408,1.0
image,64,0.0,0.6666666666666666,0.21067415730337083,0.8076528310775757
image,65,0.0,0.0,0.0,0.4561803340911865
image,66,0.0,0.8,0.04761904761904763,0.716347336769104
image,67,0.0,0.0,0.21802325581395354,0.34593090415000916
image,68,0.0,1.0,0.1630434782608696,0.8244196176528931
image,69,0.0,0.8,0.15625000000000006,0.853783130645752
image,70,1.0,1.0,0.18028846153846156,1.0000003576278687
image,71,0.0,1.0,0.0735294117647059,0.6702207326889038
image,72,1.0,1.0,0.2016129032258065,0.9999998211860657
image,73,0.0,0.6666666666666666,0.05000000000000001,0.5824800133705139
image,74,0.0,0.6666666666666666,0.05263157894736843,0.6055938005447388
image,75,0.0,0.6666666666666666,0.11111111111111113,0.9126463532447815
image,76,1.0,1.0,0.22321428571428575,0.9999998807907104
image,77,1.0,1.0,0.19244734931009444,1.0000001192092896
image,78,0.0,0.6666666666666666,0.07246376811594205,0.5783300399780273
image,79,0.0,0.0,0.0,0.6670199632644653
image,80,1.0,1.0,0.15889830508474578,1.0
image,81,0.0,0.6666666666666666,0.04587155963302753,0.5773287415504456
image,82,0.0,0.0,0.06493506493506496,0.8897866606712341
image,83,1.0,1.0,0.13786764705882357,0.9999999403953552
image,84,0.0,0.8571428571428571,0.15625000000000006,0.8989239931106567
image,85,0.0,0.0,0.04807692307692308,0.8231152892112732
image,86,0.0,1.0,0.048543689320388356,0.7615375518798828
image,87,0.0,0.6666666666666666,0.2568493150684932,0.6880820989608765
image,88,0.0,0.6666666666666666,0.14648437500000003,0.6728372573852539
image,89,1.0,1.0,0.18939393939393942,1.0000004768371582
image,90,0.0,0.8,0.23437500000000006,0.8329834342002869
image,91,1.0,1.0,0.32356532356532364,1.0000001192092896
image,92,1.0,1.0,0.15,1.000000238418579
image,93,0.0,0.8,0.0574712643678161,0.883011519908905
image,94,0.0,0.0,0.07812500000000001,0.6255989074707031
image,95,0.0,0.6666666666666666,0.061728395061728406,0.4059775471687317
image,96,0.0,0.6666666666666666,0.0735294117647059,0.5961012244224548
image,97,0.0,0.6666666666666666,0.17201834862385323,0.7496410012245178
image,98,0.0,0.6666666666666666,0.1674107142857143,0.8125991225242615
image,99,0.0,0.8,0.24199695121951223,0.7672158479690552
image,100,0.0,0.6666666666666666,0.04629629629629631,0.8032163381576538
image,101,0.0,0.0,0.10152284263959392,0.7097196578979492
image,102,1.0,1.0,0.14097744360902256,1.0
image,103,0.0,0.4,0.07518796992481204,0.7139310836791992
image,104,0.0,1.0,0.06756756756756759,0.6189842820167542
image,105,0.0,0.6666666666666666,0.14312977099236646,0.8091360926628113
image,106,1.0,1.0,0.25603864734299525,1.000000238418579
image,107,1.0,1.0,0.24334251606978882,0.9999998211860657
image,108,1.0,1.0,0.21551724137931036,0.9999998211860657
image,109,0.0,0.0,0.0,0.41472670435905457
image,110,1.0,1.0,0.2701325178389399,1.0
image,111,0.0,0.0,0.08771929824561404,0.31561994552612305
image,112,1.0,1.0,0.25000000000000006,1.0000001192092896
image,113,1.0,1.0,0.3582733812949641,0.9999998807907104
image,114,1.0,1.0,0.06410256410256411,1.0
image,115,0.0,0.6666666666666666,0.22865853658536586,0.7916440963745117
image,116,1.0,1.0,0.32356532356532364,1.0000001192092896
image,117,1.0,1.0,0.4561781609195403,0.9999998807907104
image,118,0.0,0.8,0.14204545454545459,0.8287160396575928
image,119,1.0,1.0,0.3149801587301588,1.0000001192092896
image,120,1.0,1.0,0.22321428571428575,0.9999999403953552
image,121,1.0,1.0,0.2538314176245211,0.9999998211860657
image,122,1.0,1.0,0.06849315068493152,0.9999999403953552
image,123,0.0,0.6666666666666666,0.1674107142857143,0.8000302910804749
image,124,0.0,1.0,0.05681818181818182,0.6540851593017578
image,125,1.0,1.0,0.14423076923076927,0.9999997615814209
image,126,1.0,1.0,0.2858683926645092,1.0
image,127,1.0,1.0,0.22649572649572658,1.0000001192092896
image,128,0.0,1.0,0.14312977099236646,0.8672568798065186
image,129,1.0,1.0,0.17361111111111116,1.000000238418579
image,130,1.0,1.0,0.03649635036496351,0.9999998807907104
image,131,1.0,1.0,0.2582846003898636,1.0000001192092896
image,132,1.0,1.0,0.19499632082413546,1.0000001192092896
image,133,1.0,1.0,0.061728395061728406,0.9999998807907104
image,134,0.0,0.8,0.1470588235294118,0.7090269923210144
image,135,0.0,0.0,0.05154639175257733,0.8861586451530457
image,136,1.0,1.0,0.17688679245283023,1.0
image,137,1.0,1.0,0.2582846003898636,1.000000238418579
image,138,1.0,1.0,0.19329896907216498,0.9999997019767761
image,139,1.0,1.0,0.2858683926645092,1.0000001192092896
image,140,1.0,1.0,0.17361111111111116,0.9999998807907104
image,141,0.0,1.0,0.05813953488372094,0.625147819519043
image,142,0.0,0.6666666666666666,0.16592920353982304,0.7439610362052917
image,143,0.0,0.4,0.0,0.533877968788147
image,144,1.0,1.0,0.16592920353982304,1.0
image,145,1.0,1.0,0.24743230625583573,1.000000238418579
image,146,0.0,0.8,0.06410256410256411,0.6513381004333496
image,147,0.0,0.6666666666666666,0.12335526315789476,0.7145745754241943
image,148,0.0,0.8,0.16592920353982304,0.8601459264755249
image,149,0.0,0.8,0.194546568627451,0.8608772158622742
image,150,1.0,1.0,0.32356532356532364,1.0
image,151,0.0,0.6666666666666666,0.15625000000000003,0.39550653100013733
image,152,0.0,0.8,0.3823953823953824,0.8814643025398254
image,153,1.0,1.0,0.03424657534246576,1.0000001192092896
image,154,1.0,1.0,0.29444444444444445,0.9999999403953552
image,155,1.0,1.0,0.2373417721518988,0.9999996423721313
image,156,0.0,0.6666666666666666,0.06756756756756759,0.6570346355438232
image,157,0.0,0.6666666666666666,0.052083333333333336,0.9101186394691467
image,158,0.0,0.5,0.06410256410256411,0.6442524790763855
image,159,0.0,0.0,0.044247787610619475,0.5228986740112305
image,160,0.0,0.8,0.04310344827586207,0.8718597888946533
image,161,1.0,1.0,0.14763779527559057,1.0
image,162,1.0,1.0,0.2016129032258065,0.9999997615814209
image,163,1.0,1.0,0.2840909090909091,1.000000238418579
image,164,0.0,0.8,0.04716981132075473,0.6214649081230164
image,165,0.0,0.8,0.041322314049586785,0.7371736764907837
image,166,0.0,0.6666666666666666,0.16592920353982304,0.7651466727256775
image,167,1.0,1.0,0.27985074626865675,1.0
image,168,0.0,0.0,0.03378378378378379,0.9275674819946289
image,169,0.0,0.8,0.10000000000000002,0.8264715075492859
image,170,1.0,1.0,0.23745519713261654,1.0000001192092896
image,171,1.0,1.0,0.06410256410256411,1.0000001192092896
image,172,0.0,0.8,0.035971223021582746,0.6251084208488464
image,173,1.0,1.0,0.12931034482758624,0.9999998807907104
image,174,1.0,1.0,0.1630434782608696,1.0
image,175,1.0,1.0,0.2533783783783784,0.9999998807907104
image,176,0.0,0.8,0.18564356435643567,0.8594503402709961
image,177,1.0,1.0,0.21802325581395354,0.9999997019767761
image,178,1.0,1.0,0.19761372110365405,1.0000001192092896
image,179,0.0,0.6666666666666666,0.04310344827586207,0.6597416996955872
image,180,0.0,1.0,0.055555555555555566,0.6457706689834595
image,181,0.0,0.0,0.0,0.3209931254386902
image,182,0.0,0.8,0.18028846153846156,0.8011112213134766
image,183,1.0,1.0,0.3018181818181818,0.9999999403953552
image,184,1.0,1.0,0.14097744360902256,0.9999998807907104
image,185,1.0,1.0,0.22865853658536586,0.9999998807907104
image,186,1.0,1.0,0.061728395061728406,1.0000001192092896
image,187,0.0,0.6666666666666666,0.1674107142857143,0.80661541223526
image,188,0.0,0.8,0.06849315068493152,0.6867393851280212
image,189,0.0,0.8,0.14648437500000003,0.8405635356903076
image,190,1.0,1.0,0.24134790528233155,0.9999998211860657
image,191,1.0,1.0,0.28311965811965817,0.9999998807907104
image,192,1.0,1.0,0.21306818181818182,1.0
image,193,0.0,0.0,0.05376344086021507,0.8079973459243774
image,194,0.0,0.0,0.03816793893129772,0.8751925826072693
image,195,1.0,1.0,0.06666666666666668,1.0000001192092896
image,196,0.0,0.0,0.05617977528089889,0.9596978425979614
image,197,0.0,1.0,0.34640522875817,0.8321214318275452
image,198,0.0,0.8,0.17688679245283023,0.8093947768211365
image,199,1.0,1.0,0.2435064935064936,1.0
image,200,1.0,1.0,0.17201834862385323,1.0000001192092896
image,201,0.0,0.8571428571428571,0.07246376811594205,0.8580707311630249
image,202,0.0,0.0,0.0,0.3264893889427185
image,203,0.0,0.8,0.22865853658536586,0.8316787481307983
image,204,0.0,0.8571428571428571,0.04901960784313727,0.7430166602134705
image,205,1.0,1.0,0.12668918918918923,1.0000001192092896
image,206,0.0,1.0,0.07936507936507937,0.6658930778503418
image,207,1.0,1.0,0.3680555555555557,1.000000238418579
image,208,0.0,0.8571428571428571,0.04385964912280703,0.7270185351371765
image,209,0.0,0.0,0.0,0.3557060956954956
image,210,0.0,1.0,0.05263157894736843,0.6395927667617798
