Subfolder,Index,Exact Match,F1-Score,METEOR
image,0,0.0,1.0,0.3774928774928775
image,1,1.0,1.0,0.25000000000000006
image,2,1.0,1.0,0.21551724137931036
image,3,1.0,1.0,0.19531250000000003
image,4,0.0,0.6666666666666666,0.13392857142857148
image,5,0.0,0.6666666666666666,0.10714285714285718
image,6,1.0,1.0,0.04761904761904763
image,7,1.0,1.0,0.2073552425665102
image,8,1.0,1.0,0.12096774193548389
image,9,1.0,1.0,0.05102040816326532
image,10,1.0,1.0,0.09259259259259262
image,11,1.0,1.0,0.05494505494505496
image,12,1.0,1.0,0.08620689655172414
image,13,1.0,1.0,0.22590361445783141
image,14,0.0,0.0,0.0
image,15,0.0,0.8,0.14312977099236646
image,16,0.0,0.6666666666666666,0.1807228915662651
image,17,0.0,1.0,0.1098901098901099
image,18,0.0,0.0,0.06711409395973156
image,19,1.0,1.0,0.21650326797385627
image,20,0.0,0.6666666666666666,0.21306818181818182
image,21,1.0,1.0,0.26767676767676774
image,22,0.0,0.6666666666666666,0.0574712643678161
image,23,0.0,0.0,0.042016806722689086
image,24,1.0,1.0,0.23148148148148148
image,25,0.0,0.6666666666666666,0.15756302521008408
image,26,0.0,0.8,0.17361111111111116
image,27,1.0,1.0,0.09090909090909093
image,28,1.0,1.0,0.06097560975609757
image,29,1.0,1.0,0.06410256410256411
image,30,1.0,1.0,0.17688679245283023
image,31,0.0,0.8,0.12096774193548389
image,32,1.0,1.0,0.24038461538461542
image,33,0.0,1.0,0.053191489361702135
image,34,1.0,1.0,0.22649572649572658
image,35,1.0,1.0,0.06097560975609757
image,36,0.0,0.0,0.0
image,37,0.0,0.0,0.0
image,38,0.0,0.8571428571428571,0.05050505050505052
image,39,0.0,0.8,0.1348920863309353
image,40,1.0,1.0,0.06578947368421054
image,41,1.0,1.0,0.3018181818181818
image,42,1.0,1.0,0.1320422535211268
image,43,1.0,1.0,0.2701325178389399
image,44,0.0,0.6666666666666666,0.14204545454545459
image,45,1.0,1.0,0.0574712643678161
image,46,1.0,1.0,0.27263374485596714
image,47,1.0,1.0,0.04716981132075473
image,48,0.0,1.0,0.05000000000000001
image,49,1.0,1.0,0.22321428571428575
image,50,1.0,1.0,0.13888888888888892
image,51,1.0,1.0,0.17688679245283023
image,52,1.0,1.0,0.22321428571428575
image,53,0.0,0.5714285714285715,0.0
image,54,1.0,1.0,0.3345959595959596
image,55,0.0,0.0,0.04098360655737706
image,56,1.0,1.0,0.1785714285714286
image,57,0.0,0.6666666666666666,0.04385964912280702
image,58,1.0,1.0,0.26041666666666674
image,59,1.0,1.0,0.18564356435643567
image,60,1.0,1.0,0.17201834862385323
image,61,0.0,0.6666666666666666,0.2819548872180452
image,62,0.0,1.0,0.09174311926605506
image,63,0.0,0.0,0.03816793893129772
image,64,0.0,1.0,0.0617283950617284
image,65,0.0,0.0,0.0
image,66,0.0,0.8,0.05050505050505052
image,67,1.0,1.0,0.19329896907216498
image,68,0.0,1.0,0.14312977099236646
image,69,0.0,0.8,0.13888888888888892
image,70,1.0,1.0,0.17361111111111116
image,71,0.0,1.0,0.05882352941176472
image,72,1.0,1.0,0.16447368421052633
image,73,0.0,0.6666666666666666,0.05555555555555556
image,74,0.0,0.6666666666666666,0.05494505494505496
image,75,0.0,0.6666666666666666,0.05952380952380953
image,76,0.0,0.0,0.06849315068493152
