Subfolder,Index,Exact Match,F1-Score,METEOR,BERTScore
text,0,0.0,0.4444444444444444,0.2753086419753087,0.7495906352996826
text,1,0.0,0.0,0.0,0.2721956670284271
text,2,1.0,1.0,0.21067415730337083,0.9999997019767761
text,3,0.0,0.0,0.0,0.3103575110435486
text,4,0.0,0.0,0.030864197530864203,0.6480785608291626
text,5,0.0,0.6666666666666666,0.15,0.8090943098068237
text,6,0.0,0.8,0.05681818181818182,0.7945675849914551
text,7,0.0,0.0,0.0,0.2909539043903351
text,8,0.0,0.0,0.0,0.43630462884902954
text,9,0.0,0.0,0.0,0.4862560033798218
text,10,0.0,1.0,0.0,0.5705873966217041
text,11,0.0,0.0,0.0,0.9494805335998535
text,12,0.0,0.0,0.0,0.32259100675582886
text,13,1.0,1.0,0.15756302521008408,1.0000001192092896
text,14,0.0,0.0,0.0,0.32364434003829956
text,15,0.0,0.8,0.12755102040816327,0.8362147808074951
text,16,1.0,1.0,0.20447530864197536,1.0
text,17,0.0,0.8571428571428571,0.05050505050505051,0.9209470152854919
text,18,0.0,0.0,0.05494505494505495,0.4906173050403595
text,19,1.0,1.0,0.2318460192475941,1.0
text,20,0.0,0.6666666666666666,0.18939393939393942,0.8031545877456665
text,21,1.0,1.0,0.1887464387464388,1.0
text,22,0.0,0.0,0.0,0.28360414505004883
text,23,0.0,0.0,0.08196721311475412,0.7185043096542358
text,24,1.0,1.0,0.29296875000000006,1.000000238418579
text,25,0.0,0.6666666666666666,0.1602564102564103,0.817721426486969
text,26,0.0,0.8,0.06622516556291391,0.8952709436416626
text,27,0.0,0.8,0.054347826086956534,0.6725438237190247
text,28,0.0,0.6666666666666666,0.06756756756756759,0.6431170701980591
text,29,1.0,1.0,0.05263157894736843,1.0000001192092896
text,30,0.0,0.0,0.051020408163265314,0.9354133605957031
text,31,0.0,0.0,0.0,0.23825310170650482
text,32,0.0,0.0,0.07142857142857145,0.8995718359947205
text,33,0.0,0.0,0.0,0.5206750631332397
text,34,0.0,0.8,0.17201834862385323,0.8047745823860168
text,35,0.0,0.0,0.0,0.2546364367008209
text,36,0.0,0.0,0.0,0.2946145236492157
text,37,0.0,0.0,0.0,0.37186551094055176
text,38,0.0,0.0,0.0,0.2660529315471649
text,39,0.0,0.8,0.1602564102564103,0.838333010673523
text,40,0.0,0.0,0.0,0.4191977381706238
text,41,1.0,1.0,0.4654205607476636,1.0
text,42,0.0,0.0,0.040322580645161296,0.4232003092765808
text,43,0.0,0.0,0.07751937984496125,0.2514725625514984
text,44,0.0,0.0,0.0,0.2524584233760834
text,45,1.0,1.0,0.05050505050505052,1.0
text,46,1.0,1.0,0.3505291005291005,1.0000001192092896
text,47,0.0,0.6666666666666666,0.06756756756756759,0.6722816824913025
text,48,0.0,0.6666666666666666,0.15756302521008408,0.7971328496932983
text,49,1.0,1.0,0.1752336448598131,1.0000001192092896
text,50,1.0,1.0,0.17361111111111116,0.9999999403953552
text,51,0.0,0.8,0.07194244604316549,0.8718407154083252
text,52,0.0,0.0,0.04166666666666668,0.3871519863605499
text,53,0.0,0.0,0.0,0.4811954200267792
text,54,0.0,0.0,0.0,0.23259778320789337
