Subfolder,Index,Exact Match,F1-Score,METEOR,BERTScore
text,0,0.0,0.8571428571428571,0.677710843373494,0.8294402956962585
text,1,0.0,0.0,0.0,0.2329363226890564
text,2,1.0,1.0,0.27573529411764713,0.9999997019767761
text,3,0.0,0.0,0.0,0.19980216026306152
text,4,0.0,0.0,0.08333333333333333,0.5596051216125488
text,5,0.0,0.6666666666666666,0.1449275362318841,0.6851967573165894
text,6,1.0,1.0,0.054347826086956534,1.0000001192092896
text,7,0.0,0.0,0.0,0.24181169271469116
text,8,0.0,0.0,0.0,0.21823157370090485
text,9,0.0,0.0,0.0,0.26186898350715637
text,10,1.0,1.0,0.07936507936507937,1.0000001192092896
text,11,0.0,0.0,0.0,0.5934879183769226
text,12,0.0,0.0,0.0,0.580687403678894
text,13,1.0,1.0,0.23437500000000006,1.0000001192092896
text,14,0.0,0.0,0.0,0.36836251616477966
text,15,0.0,0.0,0.30737704918032793,0.5301793217658997
text,16,0.0,1.0,0.24811218985976272,0.8291658163070679
text,17,0.0,0.8571428571428571,0.07042253521126762,0.7782290577888489
text,18,0.0,0.0,0.06410256410256411,0.42321449518203735
text,19,0.0,0.8,0.359078590785908,0.9217157959938049
text,20,0.0,0.6666666666666666,0.05154639175257733,0.6905821561813354
text,21,0.0,0.4,0.3500761035007611,0.6181525588035583
text,22,0.0,0.0,0.0,0.2365153729915619
text,23,0.0,0.0,0.08474576271186442,0.36829882860183716
text,24,0.0,1.0,0.17857142857142858,0.6009656190872192
text,25,0.0,0.6666666666666666,0.1298701298701299,0.7047041654586792
text,26,0.0,0.8,0.15625000000000003,0.7179343700408936
text,27,0.0,0.0,0.0,0.5996895432472229
text,28,0.0,0.6666666666666666,0.09433962264150945,0.6431170701980591
text,29,1.0,1.0,0.08064516129032259,1.0000001192092896
text,30,0.0,0.0,0.0,0.18418753147125244
text,31,0.0,0.0,0.0,0.21537989377975464
text,32,0.0,1.0,0.15151515151515152,0.6749618053436279
text,33,0.0,0.0,0.0,0.2359597086906433
text,34,0.0,0.5,0.0,0.47071462869644165
text,35,0.0,0.0,0.0,0.8234795331954956
text,36,0.0,0.0,0.0,0.28978124260902405
text,37,0.0,0.0,0.0,0.391905814409256
text,38,0.0,0.0,0.0,0.1941487342119217
text,39,0.0,0.0,0.08333333333333333,0.5694075226783752
text,40,0.0,0.0,0.0,0.4191977381706238
text,41,1.0,1.0,0.5242105263157895,1.0
text,42,0.0,0.0,0.0,0.27843788266181946
text,43,0.0,0.8,0.4121863799283154,0.785268247127533
text,44,0.0,0.0,0.0,0.5282163619995117
text,45,1.0,1.0,0.0892857142857143,1.0
text,46,1.0,1.0,0.4089506172839507,1.0000001192092896
text,47,0.0,0.8,0.0,0.773770809173584
text,48,0.0,0.6666666666666666,0.16949152542372883,0.6600161194801331
text,49,0.0,1.0,0.16393442622950824,0.632491409778595
text,50,1.0,1.0,0.15120967741935487,0.9999999403953552
text,51,0.0,0.0,0.10752688172043014,0.5631366968154907
text,52,0.0,0.0,0.06666666666666668,0.20673856139183044
text,53,0.0,0.0,0.0,0.20995181798934937
text,54,0.0,0.0,0.0,0.2151932567358017
text,55,0.0,1.0,0.1754385964912281,0.588668167591095
text,56,0.0,0.0,0.03164556962025317,0.5363698601722717
text,57,0.0,0.0,0.08620689655172414,0.4442247748374939
text,58,0.0,0.0,0.06410256410256411,0.4553014636039734
text,59,0.0,0.0,0.2884615384615385,0.4337269961833954
text,60,0.0,0.0,0.051020408163265314,0.27119413018226624
text,61,0.0,0.047619047619047616,0.07092198581560284,0.3945183753967285
text,62,0.0,0.6666666666666666,0.1265822784810127,0.7235946655273438
text,63,0.0,0.0,0.06756756756756757,0.9642889499664307
text,64,0.0,0.6666666666666666,0.15625000000000003,0.7018899321556091
text,65,0.0,0.0,0.0,0.6969863772392273
text,66,0.0,0.0,0.0,0.24996085464954376
text,67,1.0,1.0,0.29761904761904767,1.0
text,68,0.0,0.0,0.023923444976076562,0.3103729784488678
text,69,0.0,0.0,0.07936507936507937,0.5787551999092102
text,70,1.0,1.0,0.32894736842105265,1.0000003576278687
text,71,1.0,1.0,0.08474576271186442,0.9999998807907104
text,72,0.0,1.0,0.2173913043478261,0.6431203484535217
text,73,0.0,0.0,0.0,0.5456773042678833
text,74,0.0,0.5,0.08474576271186442,0.5532054305076599
text,75,0.0,1.0,0.2871410736579276,0.8051741123199463
text,76,1.0,1.0,0.2373417721518988,0.9999998807907104
text,77,0.0,0.3333333333333333,0.0735294117647059,0.6051909327507019
text,78,0.0,0.0,0.0,0.3004169762134552
text,79,0.0,0.0,0.0,0.46889039874076843
text,80,1.0,1.0,0.37500000000000006,1.0
text,81,1.0,1.0,0.10204081632653063,0.9999999403953552
text,82,0.0,0.0,0.0,0.2680153250694275
text,83,0.0,0.0,0.0,0.22545988857746124
text,84,0.0,0.0,0.07812500000000001,0.5493201017379761
text,85,0.0,0.4,0.3078982597054887,0.6063600778579712
text,86,0.0,0.0,0.0735294117647059,0.575678825378418
text,87,0.0,0.6666666666666666,0.15873015873015875,0.494179368019104
text,88,0.0,0.0,0.0,0.3112444281578064
text,89,1.0,1.0,0.27985074626865675,1.0000004768371582
text,90,0.0,0.0,0.0,0.25896143913269043
text,91,0.0,0.3333333333333333,0.12195121951219512,0.6554244160652161
text,92,0.0,1.0,0.16949152542372883,0.8079625368118286
text,93,0.0,0.0,0.22590361445783141,0.5138459205627441
text,94,0.0,0.28571428571428575,0.16666666666666666,0.6420359015464783
text,95,0.0,0.0,0.0,0.21603047847747803
text,96,0.0,0.0,0.0,0.2652658522129059
text,97,0.0,0.6666666666666666,0.1428571428571429,0.6430431604385376
text,98,0.0,0.05555555555555556,0.09803921568627452,0.5056695938110352
text,99,0.0,0.0,0.32051282051282054,0.5492038726806641
text,100,0.0,0.4,0.0735294117647059,0.6981998682022095
text,101,0.0,0.0,0.15306122448979592,0.6124398708343506
text,102,0.0,1.0,0.13698630136986303,0.6639031767845154
text,103,0.0,0.0,0.0,0.21302737295627594
text,104,0.0,0.6666666666666666,0.08064516129032259,0.6096910834312439
text,105,0.0,0.6666666666666666,0.15625000000000003,0.6648050546646118
text,106,0.0,0.0,0.0,0.2380947768688202
text,107,0.0,0.4,0.10416666666666667,0.6584925651550293
text,108,0.0,0.0,0.0,0.2722809910774231
text,109,0.0,0.0,0.0,0.31723207235336304
text,110,0.0,0.4,0.12820512820512822,0.7655547261238098
text,111,0.0,0.0,0.0,0.2343100905418396
text,112,0.0,1.0,0.08474576271186442,0.635594367980957
text,113,0.0,0.6666666666666665,0.6050000000000001,0.8390576243400574
text,114,1.0,1.0,0.12500000000000003,1.0
