Subfolder,Index,Exact Match,F1-Score,METEOR
text,0,0.0,0.2,0.20134228187919467
text,1,0.0,0.0,0.0
text,2,1.0,1.0,0.23437500000000006
text,3,0.0,0.0,0.0
text,4,0.0,0.0,0.0
text,5,0.0,0.0,0.05617977528089889
text,6,1.0,1.0,0.04761904761904763
text,7,0.0,0.0,0.0
text,8,0.0,0.0,0.0
text,9,0.0,0.0,0.0
text,10,0.0,1.0,0.0
text,11,0.0,0.0,0.0
text,12,0.0,0.0,0.0
text,13,1.0,1.0,0.18203883495145634
text,14,0.0,0.0,0.0
text,15,0.0,0.0,0.0
text,16,0.0,0.6666666666666666,0.11627906976744187
text,17,0.0,0.0,0.22058823529411767
text,18,0.0,0.0,0.0
text,19,0.0,0.5,0.18203883495145634
text,20,0.0,0.6666666666666666,0.12195121951219513
text,21,0.0,0.8,0.17241379310344826
text,22,0.0,0.0,0.0
text,23,0.0,0.0,0.09433962264150944
text,24,0.0,0.16666666666666669,0.29296875000000006
text,25,0.0,0.6666666666666666,0.13888888888888892
text,26,0.0,1.0,0.15384615384615385
text,27,0.0,0.0,0.0
text,28,0.0,0.0,0.0
text,29,1.0,1.0,0.07692307692307694
text,30,0.0,0.0,0.04901960784313726
text,31,0.0,0.0,0.0
text,32,0.0,1.0,0.10869565217391307
text,33,0.0,0.0,0.0
text,34,0.0,0.0,0.0
text,35,0.0,0.0,0.0
text,36,0.0,0.0,0.0
text,37,0.0,0.0,0.0
text,38,0.0,0.0,0.0
text,39,0.0,0.0,0.0
text,40,0.0,0.0,0.0
text,41,1.0,1.0,0.5724137931034482
text,42,0.0,0.0,0.0
text,43,0.0,0.8,0.30065359477124187
text,44,0.0,0.0,0.0
text,45,1.0,1.0,0.044642857142857144
text,46,1.0,1.0,0.3505291005291005
text,47,0.0,0.8,0.0
text,48,0.0,0.6666666666666666,0.06756756756756757
text,49,0.0,0.19999999999999998,0.2373417721518988
text,50,1.0,1.0,0.29296875000000006
text,51,0.0,1.0,0.14084507042253525
text,52,0.0,0.0,0.0
text,53,0.0,0.0,0.0
text,54,0.0,0.0,0.0
text,55,0.0,0.1111111111111111,0.26041666666666674
text,56,0.0,0.0,0.03703703703703705
text,57,0.0,0.0,0.0
text,58,0.0,0.0,0.0
text,59,0.0,1.0,0.13513513513513514
text,60,0.0,0.0,0.0
text,61,0.0,0.0,0.0
text,62,0.0,1.0,0.08771929824561404
text,63,0.0,0.0,0.04807692307692309
text,64,0.0,1.0,0.0574712643678161
text,65,0.0,0.0,0.0
text,66,0.0,0.0,0.0
text,67,1.0,1.0,0.2373417721518988
text,68,0.0,0.0,0.0
text,69,0.0,0.0,0.0
text,70,1.0,1.0,0.24671052631578952
text,71,1.0,1.0,0.0746268656716418
text,72,0.0,1.0,0.06756756756756757
text,73,0.0,0.0,0.0
text,74,1.0,1.0,0.08771929824561404
text,75,0.0,0.30769230769230765,0.1388888888888889
text,76,0.0,1.0,0.06410256410256411
text,77,0.0,0.0,0.0
text,78,0.0,0.0,0.0
text,79,0.0,0.0,0.0
text,80,1.0,1.0,0.41666666666666674
text,81,1.0,1.0,0.10000000000000002
text,82,0.0,0.0,0.0
text,83,0.0,0.0,0.0
text,84,0.0,0.1,0.05952380952380953
text,85,0.0,0.8,0.06250000000000001
text,86,0.0,0.13333333333333333,0.21802325581395354
text,87,0.0,1.0,0.18867924528301888
text,88,0.0,0.0,0.0
text,89,1.0,1.0,0.2435064935064936
text,90,0.0,0.0,0.0
text,91,0.0,0.0,0.11627906976744187
text,92,0.0,1.0,0.10638297872340427
text,93,0.0,0.0,0.0
text,94,0.0,0.0,0.06578947368421052
text,95,0.0,0.0,0.0
text,96,0.0,0.0,0.0
text,97,0.0,1.0,0.19607843137254902
text,98,0.0,0.0,0.0
text,99,0.0,1.0,0.31660692951015534
text,100,0.0,0.6666666666666666,0.16393442622950824
text,101,0.0,0.0,0.0
text,102,0.0,1.0,0.12820512820512822
text,103,0.0,0.0,0.0
text,104,1.0,1.0,0.07575757575757577
text,105,0.0,1.0,0.05263157894736843
text,106,0.0,0.0,0.06060606060606061
text,107,0.0,0.05555555555555555,0.0584795321637427
text,108,0.0,0.0,0.0
text,109,0.0,0.0,0.0
text,110,0.0,0.0,0.0
text,111,0.0,0.0,0.0
text,112,0.0,1.0,0.05882352941176471
text,113,0.0,0.5333333333333333,0.503030303030303
text,114,1.0,1.0,0.1612903225806452
text,115,0.0,1.0,0.07042253521126762
text,116,0.0,0.0,0.0
text,117,0.0,0.0,0.04132231404958678
text,118,0.0,0.2857142857142857,0.20604395604395606
text,119,0.0,0.21052631578947367,0.10416666666666669
text,120,0.0,0.0,0.0
text,121,0.0,0.0,0.1388888888888889
text,122,0.0,0.0,0.0
text,123,0.0,0.6666666666666666,0.13333333333333336
text,124,0.0,0.0,0.0
text,125,0.0,0.11764705882352941,0.24038461538461542
text,126,0.0,0.0,0.0
text,127,0.0,0.42857142857142855,0.24743230625583573
text,128,1.0,1.0,0.21551724137931036
text,129,0.0,0.0,0.009090909090909092
text,130,0.0,0.0,0.0
text,131,0.0,0.0,0.0
text,132,0.0,0.0,0.0
text,133,0.0,0.0,0.0
text,134,0.0,0.0,0.03676470588235295
text,135,0.0,0.0,0.0
text,136,0.0,0.16666666666666669,0.21551724137931036
text,137,0.0,0.0,0.0
text,138,0.0,0.0,0.0
text,139,0.0,0.0,0.0
text,140,1.0,1.0,0.29296875000000006
text,141,0.0,0.0,0.0
text,142,0.0,0.0,0.06410256410256411
