Subfolder,Index,Exact Match,F1-Score,METEOR,BERTScore
text,0,0.0,0.3333333333333333,0.2839506172839506,0.7216179370880127
text,1,0.0,0.0,0.0,0.2918689250946045
text,2,1.0,1.0,0.18750000000000003,0.9999997019767761
text,3,0.0,0.0,0.0,0.26433926820755005
text,4,0.0,0.0,0.05154639175257733,0.6480785608291626
text,5,0.0,0.6666666666666666,0.12583892617449666,0.8090943098068237
text,6,0.0,0.8,0.0602409638554217,0.7945675849914551
text,7,0.0,0.0,0.0,0.2981368899345398
text,8,0.0,0.0,0.0,0.299349308013916
text,9,0.0,0.0,0.0,0.2521364092826843
text,10,0.0,1.0,0.0,0.5705873966217041
text,11,0.0,0.0,0.0,0.5934879183769226
text,12,0.0,0.0,0.0,0.2879921495914459
text,13,1.0,1.0,0.1973684210526316,1.0000001192092896
text,14,0.0,0.0,0.0,0.7708259224891663
text,15,0.0,0.0,0.04347826086956522,0.6279351711273193
text,16,1.0,1.0,0.3384418901660281,1.0
text,17,0.0,0.8571428571428571,0.08130081300813011,0.9209470152854919
text,18,0.0,0.0,0.04504504504504506,0.6141402125358582
text,19,1.0,1.0,0.23938572719060527,1.0
text,20,0.0,0.6666666666666666,0.1973684210526316,0.8031545877456665
text,21,1.0,1.0,0.2652652652652653,1.0
text,22,0.0,0.0,0.0,0.26147735118865967
text,23,0.0,0.0,0.05000000000000001,0.7660038471221924
text,24,1.0,1.0,0.20833333333333337,1.000000238418579
text,25,0.0,0.6666666666666666,0.25000000000000006,0.817721426486969
text,26,0.0,0.8,0.03623188405797102,0.8952709436416626
text,27,0.0,0.0,0.0,0.31206509470939636
text,28,0.0,0.6666666666666666,0.06756756756756759,0.6431170701980591
text,29,1.0,1.0,0.04098360655737705,1.0000001192092896
text,30,0.0,0.0,0.05208333333333334,0.9354133605957031
text,31,0.0,0.0,0.0,0.26978641748428345
text,32,1.0,1.0,0.2568493150684932,1.0
text,33,0.0,0.0,0.0,0.33897915482521057
text,34,1.0,1.0,0.1784511784511785,0.9999997019767761
text,35,0.0,0.0,0.0,0.8234795331954956
text,36,0.0,0.0,0.0,0.26783373951911926
text,37,0.0,0.0,0.0,0.4542543292045593
text,38,0.0,0.0,0.0,0.220266655087471
text,39,0.0,0.0,0.0,0.5694075226783752
text,40,0.0,0.0,0.0,0.48902949690818787
text,41,1.0,1.0,0.4150000000000001,1.0
text,42,0.0,0.3333333333333333,0.04901960784313726,0.725280225276947
text,43,1.0,1.0,0.22649572649572658,1.000000238418579
text,44,0.0,0.0,0.0,0.28029316663742065
text,45,1.0,1.0,0.07142857142857145,1.0
text,46,1.0,1.0,0.3384418901660281,1.0000001192092896
text,47,0.0,0.0,0.0,0.46344056725502014
text,48,0.0,0.0,0.04629629629629631,0.7406198978424072
text,49,1.0,1.0,0.16447368421052633,1.0000001192092896
text,50,0.0,0.0,0.05494505494505495,0.955249011516571
text,51,0.0,0.8,0.09433962264150945,0.8718407154083252
text,52,0.0,0.0,0.0,0.3264216482639313
text,53,0.0,0.0,0.0,0.27553218603134155
text,54,0.0,0.0,0.0,0.24977357685565948
text,55,0.0,0.0,0.06410256410256411,0.9359835386276245
text,56,0.0,0.0,0.03846153846153847,0.8867676258087158
text,57,0.0,0.8,0.03676470588235295,0.867898166179657
text,58,0.0,0.0,0.03246753246753248,0.6539312601089478
text,59,1.0,1.0,0.26041666666666674,0.9999998807907104
text,60,0.0,0.0,0.03906250000000001,0.5307290554046631
text,61,0.0,0.0,0.0,0.2674916684627533
text,62,1.0,1.0,0.19329896907216498,1.000000238418579
text,63,0.0,0.0,0.04,0.2487756311893463
text,64,0.0,0.0,0.0,0.24769902229309082
text,65,0.0,0.0,0.0,0.6969863772392273
text,66,0.0,0.0,0.0,0.2806422710418701
text,67,1.0,1.0,0.21551724137931036,1.0
text,68,0.0,0.0,0.0,0.5309274792671204
text,69,0.0,0.0,0.0617283950617284,0.6879563927650452
text,70,0.0,0.0,0.0,0.24966728687286377
text,71,0.0,1.0,0.054347826086956534,0.6702207326889038
text,72,1.0,1.0,0.2373417721518988,0.9999998211860657
text,73,0.0,0.0,0.0,0.3388668894767761
text,74,0.0,0.6666666666666666,0.048543689320388356,0.5022198557853699
text,75,0.0,0.0,0.0,0.5113238096237183
