Subfolder,Index,Exact Match,F1-Score,METEOR,BERTScore
text,0,0.0,0.3333333333333333,0.21582733812949642,0.6484905481338501
text,1,0.0,0.0,0.0,0.2733577489852905
text,2,1.0,1.0,0.25000000000000006,0.9999997019767761
text,3,0.0,0.0,0.0,0.23488463461399078
text,4,0.0,0.0,0.027173913043478267,0.6548328399658203
text,5,0.0,0.0,0.0740740740740741,0.7977128624916077
text,6,1.0,1.0,0.04761904761904763,1.0000001192092896
text,7,0.0,0.0,0.0,0.298524409532547
text,8,0.0,0.0,0.0,0.28004133701324463
text,9,0.0,0.0,0.0,0.6803258657455444
text,10,0.0,1.0,0.0,0.5705873966217041
text,11,0.0,0.0,0.0,0.9494805335998535
text,12,0.0,0.0,0.0,0.3422335386276245
text,13,1.0,1.0,0.16447368421052633,1.0000001192092896
text,14,0.0,0.0,0.0,0.6061476469039917
text,15,0.0,0.0,0.0,0.551012396812439
text,16,1.0,1.0,0.30994152046783635,1.0
text,17,0.0,0.8571428571428571,0.09803921568627452,0.9209470152854919
text,18,0.0,0.0,0.030864197530864203,0.8054019212722778
text,19,0.0,0.8,0.34640522875817,0.9217157959938049
text,20,0.0,0.0,0.03521126760563381,0.7310620546340942
text,21,1.0,1.0,0.28867102396514166,1.0
text,22,0.0,0.28571428571428575,0.0,0.5602457523345947
text,23,0.0,0.0,0.04672897196261683,0.7660038471221924
text,24,1.0,1.0,0.2568493150684932,1.000000238418579
text,25,0.0,0.6666666666666666,0.20833333333333337,0.817721426486969
text,26,1.0,1.0,0.1674107142857143,1.0000003576278687
text,27,0.0,0.0,0.0,0.28411003947257996
text,28,0.0,0.0,0.06250000000000001,0.6343490481376648
text,29,1.0,1.0,0.07575757575757577,1.0000001192092896
text,30,0.0,0.0,0.04273504273504274,0.9354133605957031
text,31,0.0,0.0,0.0,0.24018602073192596
text,32,0.0,0.0,0.05494505494505495,0.8995718359947205
text,33,0.0,0.0,0.04065040650406505,0.5157184600830078
text,34,0.0,0.4,0.07462686567164178,0.7045320868492126
text,35,0.0,0.0,0.0,0.23720477521419525
text,36,0.0,0.0,0.0,0.2589084208011627
text,37,0.0,0.0,0.0,0.4306071996688843
text,38,0.0,0.0,0.0,0.24670101702213287
text,39,0.0,0.8,0.32894736842105265,0.838333010673523
text,40,0.0,0.0,0.0,0.48902949690818787
text,41,1.0,1.0,0.3716417910447761,1.0
text,42,0.0,0.22222222222222224,0.029940119760479045,0.6000095009803772
text,43,0.0,0.0,0.2858683926645092,0.23730947077274323
text,44,0.0,0.0,0.0,0.2598722577095032
