,Retrieved Context
0,3M/2018/10K/8
1,3M/2018/10K/26
2,3M/2022/10K/4
3,3M/2022/10K/30
4,3M/2022/10K/16
5,3M/2023Q2/10Q/33
6,3M/2023Q2/10Q/1
7,3M/2023Q2/10Q/6
8,ACTIVISIONBLIZZARD/2019/10K/10
9,ACTIVISIONBLIZZARD/2019/10K/66
10,ADOBE/2015/10K/104
11,ADOBE/2016/10K/146
12,ADOBE/2017/10K/38
13,ADOBE/2022/10K/41
14,ADOBE/2022/10K/47
15,AES/2022/10K/79
16,AES/2022/10K/57
17,AES/2022/10K/34
18,AMAZON/2017/10K/48
19,AMAZON/2017/10K/37
20,AMAZON/2019/10K/77
21,AMCOR/2020/10K/1
22,AMCOR/2022/8K/116
23,AMCOR/2023/10K/2
24,AMCOR/2023/10K/2
25,AMCOR/2023/10K/54
26,AMCOR/2023/10K/2
27,AMCOR/2023Q2/10Q/61
28,AMCOR/2023Q4/EARNINGS/2
29,AMCOR/2023Q4/EARNINGS/2
30,AMD/2015/10K/4
31,AMD/2022/10K/99
32,AMD/2022/10K/6
33,AMD/2022/10K/4
34,AMD/2022/10K/73
35,AMD/2022/10K/46
36,AMD/2022/10K/3
37,AMD/2022/10K/12
38,AMERICANEXPRESS/2022/10K/1
39,AMERICANEXPRESS/2022/10K/254
40,AMERICANEXPRESS/2022/10K/26
41,AMERICANEXPRESS/2022/10K/6
42,AMERICANEXPRESS/2022/10K/6
43,AMERICANEXPRESS/2022/10K/254
44,AMERICANEXPRESS/2022/10K/5
45,AMERICANWATERWORKS/2020/10K/26
46,AMERICANWATERWORKS/2021/10K/87
47,AMERICANWATERWORKS/2022/10K/43
48,BESTBUY/2017/10K/2
49,BESTBUY/2019/10K/2
50,BESTBUY/2023/10K/2
51,BESTBUY/2023/10K/2
52,BESTBUY/2023/10K/2
53,BESTBUY/2024Q2/10Q/3
54,BESTBUY/2024Q2/10Q/2
55,BESTBUY/2024Q2/10Q/2
56,BLOCK/2016/10K/48
57,BLOCK/2020/10K/56
58,BLOCK/2020/10K/65
59,BOEING/2018/10K/89
60,BOEING/2022/10K/3
61,BOEING/2022/10K/10
62,BOEING/2022/10K/36
63,BOEING/2022/10K/3
64,BOEING/2022/10K/12
65,BOEING/2022/10K/10
66,BOEING/2022/10K/10
67,COCACOLA/2017/10K/141
68,COCACOLA/2021/10K/36
69,COCACOLA/2022/10K/28
70,CORNING/2020/10K/51
71,CORNING/2021/10K/53
72,CORNING/2022/10K/77
73,CORNING/2022/10K/35
74,COSTCO/2021/10K/54
75,CVSHEALTH/2018/10K/301
76,CVSHEALTH/2022/10K/17
77,CVSHEALTH/2022/10K/175
78,CVSHEALTH/2022/10K/66
79,FOOTLOCKER/2022/8K/7
80,FOOTLOCKER/2022/8K/118
81,GENERALMILLS/2019/10K/35
82,GENERALMILLS/2020/10K/107
83,GENERALMILLS/2020/10K/19
84,GENERALMILLS/2022/10K/19
85,[]
86,[]
87,[]
88,[]
89,[]
90,[]
91,[]
92,[]
93,[]
94,JPMORGAN/2021Q1/10Q/7
95,JPMORGAN/2021Q1/10Q/190
96,JPMORGAN/2022/10K/19
97,JPMORGAN/2022Q2/10Q/6
98,JPMORGAN/2023Q2/10Q/5
99,KRAFTHEINZ/2019/10K/19
100,LOCKHEEDMARTIN/2020/10K/34
101,LOCKHEEDMARTIN/2021/10K/43
102,LOCKHEEDMARTIN/2022/10K/27
103,MGMRESORTS/2018/10K/62
104,MGMRESORTS/2020/10K/27
105,MGMRESORTS/2022/10K/33
106,MGMRESORTS/2022Q4/EARNINGS/48
107,MGMRESORTS/2022Q4/EARNINGS/90
108,MGMRESORTS/2022Q4/EARNINGS/1
109,MGMRESORTS/2023Q2/10Q/69
110,MICROSOFT/2016/10K/96
111,MICROSOFT/2023/10K/28
112,NETFLIX/2015/10K/42
113,NETFLIX/2017/10K/45
114,NIKE/2018/10K/67
115,NIKE/2019/10K/9
116,NIKE/2021/10K/19
117,NIKE/2023/10K/29
118,PAYPAL/2022/10K/35
119,PEPSICO/2021/10K/63
120,PEPSICO/2022/10K/43
121,PEPSICO/2022/10K/5
122,PEPSICO/2022/10K/57
123,PEPSICO/2022/10K/1
124,PEPSICO/2022/10K/41
125,PEPSICO/2023/8K/41
126,PEPSICO/2023/8K/116
127,PEPSICO/2023/8K/116
128,PEPSICO/2023Q1/EARNINGS/1
129,PEPSICO/2023Q1/EARNINGS/1
130,PFIZER/2021/10K/36
131,PFIZER/2021/10K/87
132,PFIZER/2021/10K/41
133,Pfizer/2023Q2/10Q/6
134,Pfizer/2023Q2/10Q/1
135,Pfizer/2023Q2/10Q/16
136,ULTABEAUTY/2023/10K/3
137,ULTABEAUTY/2023/10K/3
138,ULTABEAUTY/2023Q4/EARNINGS/39
139,ULTABEAUTY/2023Q4/EARNINGS/1
140,ULTABEAUTY/2023Q4/EARNINGS/3
141,ULTABEAUTY/2023Q4/EARNINGS/3
142,VERIZON/2021/10K/85
143,VERIZON/2021/10K/154
144,VERIZON/2022/10K/99
145,VERIZON/2022/10K/10
146,VERIZON/2022/10K/18
147,WALMART/2018/10K/140
148,WALMART/2019/10K/70
149,WALMART/2020/10K/24
