,Retrieved Context
0,DOV/2014/page_13.pdf
1,ISRG/2004/page_70.pdf
2,VRSN/2006/page_225.pdf
3,KEY/2015/page_210.pdf
4,MKC/2013/page_41.pdf
5,CHD/2016/page_67.pdf
6,MPC/2018/page_74.pdf
7,MPC/2015/page_67.pdf
8,ISRG/2004/page_73.pdf
9,NSC/2004/page_115.pdf
10,KEY/2015/page_96.pdf
11,NSC/2006/page_32.pdf
12,NVR/2013/page_28.pdf
13,NSC/2012/page_70.pdf
14,NFLX/2018/page_24.pdf
15,JNPR/2012/page_45.pdf
16,UNM/2013/page_124.pdf
17,AMZN/2003/page_69.pdf
18,URI/2014/page_90.pdf
19,UNM/2012/page_89.pdf
20,ROK/2008/page_55.pdf
21,KEY/2013/page_139.pdf
22,PKI/2007/page_32.pdf
23,PHM/2004/page_34.pdf
24,WAB/2009/page_38.pdf
25,KSU/2008/page_45.pdf
26,DLR/2016/page_124.pdf
27,ATO/2019/page_49.pdf
28,HOG/2018/page_18.pdf
29,PPL/2015/page_61.pdf
30,NFLX/2003/page_74.pdf
31,AMZN/2013/page_34.pdf
32,WDC/2016/page_27.pdf
33,URI/2015/page_83.pdf
34,KEY/2013/page_224.pdf
35,BXP/2006/page_142.pdf
36,ZBRA/2018/page_132.pdf
37,AKAM/2009/page_106.pdf
38,ATO/2019/page_29.pdf
39,JNPR/2018/page_182.pdf
40,NVR/2013/page_27.pdf
41,KEY/2015/page_181.pdf
42,PEP/2011/page_91.pdf
43,KMB/2005/page_92.pdf
44,JNPR/2011/page_39.pdf
45,NVR/2013/page_28.pdf
46,HOG/2018/page_18.pdf
47,URI/2015/page_93.pdf
48,WU/2010/page_75.pdf
49,TSN/2006/page_64.pdf
50,NVR/2013/page_24.pdf
51,PHM/2007/page_47.pdf
52,NSC/2012/page_70.pdf
53,ATO/2016/page_49.pdf
54,NSC/2015/page_65.pdf
55,VRSK/2015/page_122.pdf
56,MPC/2012/page_74.pdf
57,WAB/2010/page_75.pdf
58,PXD/2005/page_84.pdf
59,NFLX/2003/page_72.pdf
60,DGX/2018/page_114.pdf
61,KMB/2007/page_98.pdf
62,PHM/2007/page_47.pdf
63,SYK/2015/page_13.pdf
64,JNPR/2008/page_182.pdf
65,KEY/2015/page_210.pdf
66,PPL/2017/page_16.pdf
67,TDG/2019/page_123.pdf
68,TMO/2008/page_101.pdf
69,JNPR/2014/page_38.pdf
70,AMZN/2004/page_54.pdf
71,DLR/2016/page_64.pdf
72,NFLX/2008/page_32.pdf
73,WU/2009/page_95.pdf
74,KSU/2007/page_75.pdf
75,PKI/2013/page_95.pdf
76,DOV/2018/page_100.pdf
77,UNM/2014/page_110.pdf
78,MPC/2017/page_62.pdf
79,PXD/2007/page_123.pdf
80,DLR/2008/page_94.pdf
81,URI/2018/page_88.pdf
82,NVR/2015/page_56.pdf
83,TDG/2015/page_126.pdf
84,MGM/2018/page_96.pdf
85,PXD/2005/page_125.pdf
86,HOG/2018/page_110.pdf
87,TSN/2010/page_74.pdf
88,KMB/2010/page_98.pdf
89,ADS/2007/page_157.pdf
90,CHD/2018/page_136.pdf
91,UNM/2018/page_210.pdf
92,SYK/2012/page_11.pdf
93,DGX/2012/page_77.pdf
94,SBAC/2011/page_38.pdf
95,SYK/2016/page_33.pdf
96,JNPR/2017/page_183.pdf
97,CHD/2012/page_83.pdf
98,CHD/2016/page_67.pdf
99,PEP/2013/page_82.pdf
100,AKAM/2008/page_92.pdf
101,SBAC/2008/page_41.pdf
102,ZBRA/2005/page_45.pdf
103,MPC/2012/page_93.pdf
104,WU/2009/page_100.pdf
105,JNPR/2008/page_108.pdf
106,MPC/2012/page_90.pdf
107,MKC/2013/page_47.pdf
108,VRSN/2006/page_46.pdf
109,PPL/2015/page_55.pdf
110,PNR/2016/page_117.pdf
111,ISRG/2003/page_28.pdf
112,LH/2017/page_31.pdf
113,FMC/2011/page_37.pdf
114,MPC/2012/page_11.pdf
115,HOG/2015/page_106.pdf
116,OXY/2012/page_18.pdf
