,Retrieved Context
0,DOV/2014/page_14.pdf
1,ISRG/2004/page_71.pdf
2,VRSN/2006/page_226.pdf
3,KEY/2015/page_57.pdf
4,MKC/2013/page_41.pdf
5,CHD/2016/page_90.pdf
6,MPC/2018/page_88.pdf
7,MPC/2015/page_55.pdf
8,ISRG/2004/page_79.pdf
9,NSC/2004/page_41.pdf
10,KEY/2015/page_195.pdf
11,NSC/2006/page_79.pdf
12,NVR/2013/page_28.pdf
13,NSC/2012/page_51.pdf
14,NFLX/2018/page_65.pdf
15,JNPR/2012/page_31.pdf
16,UNM/2013/page_111.pdf
17,AMZN/2003/page_27.pdf
18,URI/2014/page_35.pdf
19,UNM/2012/page_92.pdf
20,ROK/2008/page_43.pdf
21,KEY/2013/page_121.pdf
22,PKI/2007/page_25.pdf
23,PHM/2004/page_64.pdf
24,WAB/2009/page_79.pdf
25,KSU/2008/page_45.pdf
26,DLR/2016/page_124.pdf
27,ATO/2019/page_40.pdf
28,HOG/2018/page_74.pdf
29,PPL/2015/page_55.pdf
30,NFLX/2003/page_32.pdf
31,AMZN/2013/page_62.pdf
32,WDC/2016/page_125.pdf
33,URI/2015/page_97.pdf
34,KEY/2013/page_224.pdf
35,BXP/2006/page_52.pdf
36,ZBRA/2018/page_89.pdf
37,AKAM/2009/page_86.pdf
38,ATO/2019/page_55.pdf
39,JNPR/2018/page_144.pdf
40,NVR/2013/page_28.pdf
41,KEY/2015/page_109.pdf
42,PEP/2011/page_49.pdf
43,KMB/2005/page_39.pdf
44,JNPR/2011/page_43.pdf
45,NVR/2013/page_28.pdf
46,HOG/2018/page_19.pdf
47,URI/2015/page_94.pdf
48,WU/2010/page_121.pdf
49,TSN/2006/page_64.pdf
50,NVR/2013/page_27.pdf
51,PHM/2007/page_88.pdf
52,NSC/2012/page_70.pdf
53,ATO/2016/page_91.pdf
54,NSC/2015/page_65.pdf
55,VRSK/2015/page_122.pdf
56,MPC/2012/page_72.pdf
57,WAB/2010/page_75.pdf
58,PXD/2005/page_59.pdf
59,NFLX/2003/page_72.pdf
60,DGX/2018/page_115.pdf
61,KMB/2007/page_42.pdf
62,PHM/2007/page_47.pdf
63,SYK/2015/page_33.pdf
64,JNPR/2008/page_108.pdf
65,KEY/2015/page_215.pdf
66,PPL/2017/page_148.pdf
67,TDG/2019/page_115.pdf
68,TMO/2008/page_138.pdf
69,JNPR/2014/page_44.pdf
70,AMZN/2004/page_75.pdf
71,DLR/2016/page_111.pdf
72,NFLX/2008/page_30.pdf
73,WU/2009/page_95.pdf
74,KSU/2007/page_51.pdf
75,PKI/2013/page_75.pdf
76,DOV/2018/page_47.pdf
77,UNM/2014/page_107.pdf
78,MPC/2017/page_62.pdf
79,PXD/2007/page_39.pdf
80,DLR/2008/page_70.pdf
81,URI/2018/page_89.pdf
82,NVR/2015/page_56.pdf
83,TDG/2015/page_114.pdf
84,MGM/2018/page_100.pdf
85,PXD/2005/page_92.pdf
86,HOG/2018/page_110.pdf
87,TSN/2010/page_53.pdf
88,KMB/2010/page_98.pdf
89,ADS/2007/page_158.pdf
90,CHD/2018/page_88.pdf
91,UNM/2018/page_210.pdf
92,SYK/2012/page_43.pdf
93,DGX/2012/page_77.pdf
94,SBAC/2011/page_110.pdf
95,SYK/2016/page_31.pdf
96,JNPR/2017/page_139.pdf
97,CHD/2012/page_71.pdf
98,CHD/2016/page_83.pdf
99,PEP/2013/page_88.pdf
100,AKAM/2008/page_92.pdf
101,SBAC/2008/page_86.pdf
102,ZBRA/2005/page_54.pdf
103,MPC/2012/page_39.pdf
104,WU/2009/page_100.pdf
105,JNPR/2008/page_108.pdf
106,MPC/2012/page_79.pdf
107,MKC/2013/page_60.pdf
108,VRSN/2006/page_226.pdf
