,Retrieved Context
0,ADI/2009/page_70.pdf
1,ABMD/2012/page_75.pdf
2,AAL/2018/page_70.pdf
3,INTC/2013/page_71.pdf
4,ETR/2008/page_28.pdf
5,C/2010/page_272.pdf
6,AMT/2012/page_121.pdf
7,GIS/2019/page_33.pdf
8,IPG/2009/page_89.pdf
9,CDNS/2018/page_43.pdf
10,GIS/2008/page_96.pdf
11,PNC/2012/page_171.pdf
12,AAL/2015/page_80.pdf
13,ETR/2008/page_28.pdf
14,GS/2014/page_76.pdf
15,AAL/2014/page_74.pdf
16,SWKS/2011/page_49.pdf
17,WRK/2018/page_51.pdf
18,KHC/2017/page_45.pdf
19,INTC/2013/page_71.pdf
20,JPM/2010/page_157.pdf
21,MMM/2015/page_58.pdf
22,GS/2014/page_149.pdf
23,JPM/2003/page_100.pdf
24,MAA/2018/page_19.pdf
25,HII/2018/page_69.pdf
26,STT/2008/page_115.pdf
27,MAS/2017/page_37.pdf
28,TSCO/2017/page_67.pdf
29,CDW/2013/page_93.pdf
30,FIS/2016/page_76.pdf
31,ALLE/2016/page_71.pdf
32,DRE/2016/page_41.pdf
33,FBHS/2017/page_43.pdf
34,BKNG/2015/page_33.pdf
35,STT/2012/page_54.pdf
36,RE/2012/page_30.pdf
37,FIS/2016/page_64.pdf
38,UNP/2014/page_34.pdf
39,ADI/2016/page_278.pdf
40,WRK/2019/page_51.pdf
41,HII/2011/page_100.pdf
42,JPM/2003/page_61.pdf
43,JPM/2012/page_157.pdf
44,GS/2016/page_222.pdf
45,LLY/2008/page_45.pdf
46,ANSS/2012/page_109.pdf
47,JPM/2018/page_73.pdf
48,IPG/2012/page_89.pdf
49,WELL/2017/page_143.pdf
50,V/2008/page_163.pdf
51,UA/2011/page_53.pdf
52,LMT/2013/page_51.pdf
53,ETR/2009/page_107.pdf
54,AAP/2006/page_63.pdf
55,AOS/2007/page_17.pdf
56,PNC/2013/page_38.pdf
57,UNP/2016/page_75.pdf
58,GS/2013/page_222.pdf
59,UAA/2016/page_87.pdf
60,MA/2010/page_103.pdf
61,PNC/2014/page_73.pdf
62,HOLX/2011/page_122.pdf
63,ZBH/2008/page_70.pdf
64,AAPL/2013/page_38.pdf
65,JPM/2016/page_87.pdf
66,RL/2011/page_9.pdf
67,ILMN/2006/page_62.pdf
68,C/2008/page_211.pdf
69,AMT/2005/page_46.pdf
70,DISCA/2013/page_41.pdf
71,WRK/2018/page_60.pdf
72,LMT/2012/page_46.pdf
73,OKE/2008/page_31.pdf
74,ETR/2004/page_163.pdf
75,CDW/2014/page_67.pdf
76,DRE/2008/page_56.pdf
77,HII/2013/page_116.pdf
78,FRT/2009/page_123.pdf
79,HWM/2015/page_95.pdf
80,CME/2012/page_100.pdf
81,AWK/2012/page_243.pdf
82,APD/2019/page_53.pdf
83,AAL/2015/page_80.pdf
84,HWM/2016/page_52.pdf
85,ETFC/2013/page_85.pdf
86,BLL/2006/page_39.pdf
87,ETR/2016/page_17.pdf
88,MS/2013/page_117.pdf
89,AES/2011/page_225.pdf
90,ETR/2016/page_401.pdf
91,SWKS/2008/page_65.pdf
92,STT/2007/page_163.pdf
93,MSI/2008/page_73.pdf
94,AAL/2015/page_131.pdf
95,VNO/2003/page_183.pdf
96,INTC/2018/page_45.pdf
97,JPM/2010/page_144.pdf
98,CDW/2015/page_37.pdf
99,APTV/2015/page_50.pdf
100,SWKS/2012/page_70.pdf
101,LMT/2012/page_44.pdf
102,C/2008/page_111.pdf
103,AMAT/2018/page_31.pdf
104,CDNS/2012/page_31.pdf
105,AAL/2014/page_183.pdf
106,PPG/2008/page_19.pdf
107,LMT/2012/page_47.pdf
108,GPN/2007/page_44.pdf
109,RSG/2013/page_137.pdf
110,AES/2017/page_95.pdf
111,STT/2013/page_69.pdf
112,PNC/2011/page_209.pdf
113,ADI/2019/page_38.pdf
114,PPG/2013/page_69.pdf
115,AMT/2005/page_77.pdf
