,Retrieved Context,Correct Documents,Generated Answer,Correct Answer,Golden Context
15,"['AAL/2014/page_89.pdf-3', 'AAL/2014/page_89.pdf-4', 'AAL/2014/page_89.pdf-1', 'AAL/2014/page_89.pdf-2', 'AAL/2014/page_80.pdf-2']",AAL/2014/page_89.pdf-3,"Approximately 100%.

Explanation: Based on the context provided, it is stated that the total value of the deemed claim given to employees was approximately $1.7 billion. Since this deemed claim was provided in exchange for employees' contributions to the successful reorganization, including agreeing to reductions in pay and benefits, it can be inferred that the entire $1.7 billion deemed claim was labor-related. Therefore, the percentage of total reorganization items net consisting of labor-related deemed claims would be 100%.",65.6%,"['the labor-related deemed claim ( 1 ) of 2013 is $ 1733 ;'
 'the total reorganization items net of 2013 is $ 2640 ;']"
105,"['AAL/2014/page_80.pdf-4', 'AAL/2014/page_80.pdf-3', 'AAL/2014/page_80.pdf-2', 'AAL/2014/page_80.pdf-1', 'AAL/2014/page_89.pdf-1']",AAL/2014/page_80.pdf-1,"Approximately 100%

To arrive at this answer, I looked at the context provided, specifically the information that each employee group received a deemed claim amount based on the value of cost savings provided through reductions in pay and benefits. Since the total value of the deemed claim was approximately $1.7 billion, and this was in exchange for the employees' contributions to the successful reorganization, it can be inferred that the labor-related deemed claim accounted for 100% of the total reorganization costs.",65.3%,"['the labor-related deemed claim ( 1 ) of 2013 is $ 1733 ;'
 'the total reorganization items net of 2013 is $ 2655 ;']"
161,"['AAL/2014/page_92.pdf-1', 'AAL/2014/page_92.pdf-3', 'AAL/2014/page_92.pdf-4', 'AAL/2014/page_92.pdf-2', 'AAL/2014/page_80.pdf-1']",AAL/2014/page_89.pdf-2,"Answer: 7.53%

To arrive at this answer, I looked at the table provided that summarizes the components included in reorganization items for 2013. The professional fees for 2013 were $199 million, and the total reorganization items net for 2013 were $2640 million. I then divided $199 million by $2640 million and multiplied by 100 to get the percentage, which is 7.53%.",7.5%,"['the professional fees of 2013 is 199 ;'
 'the total reorganization items net of 2013 is $ 2640 ;']"
266,"['AAL/2014/page_18.pdf-3', 'AAL/2014/page_18.pdf-4', 'AAL/2014/page_18.pdf-1', 'AAL/2014/page_18.pdf-2', 'AAL/2014/page_18.pdf-4']",AAL/2014/page_18.pdf-4,"$31,949 million

Explanation:
To find the total mainline operating expenses in 2013, we need to sum up the aircraft fuel expense and calculate the percentage based on the given data in the table. 
In 2013, the aircraft fuel expense was $11,109 million, and it accounted for 35.4% of the total mainline operating expenses. 
Therefore, to find the total mainline operating expenses in 2013, we can set up the equation:
$11,109 million = 35.4% of total mainline operating expenses
Total mainline operating expenses = $11,109 million / 0.354 = $31,949 million",31381,['year the 2013 ( a ) of gallons is 3608 ; the 2013 ( a ) of average price per gallon is 3.08 ; the 2013 ( a ) of aircraft fuel expense is 11109 ; the 2013 ( a ) of percent of total mainline operating expenses is 35.4 ;']
908,"['AAL/2014/page_59.pdf-3', 'AAL/2014/page_59.pdf-1', 'AAL/2014/page_59.pdf-2', 'AAL/2014/page_219.pdf-2', 'AAL/2014/page_219.pdf-3']",AAL/2014/page_59.pdf-2,"50% 

To arrive at this answer, I calculated the growth rate of the Amex Airline Index from 12/31/2013 to 12/31/2014 using the formula: ((Ending Value - Beginning Value) / Beginning Value) x 100%. 

Calculating ((152 - 102) / 102) x 100%, the growth rate is 50%.",49%,"['the amex airline index of 12/9/2013 is 100 ; the amex airline index of 12/31/2013 is 102 ; the amex airline index of 12/31/2014 is 152 ;'
 'the s&p 500 of 12/9/2013 is 100 ; the s&p 500 of 12/31/2013 is 102 ; the s&p 500 of 12/31/2014 is 114 ;']"
1164,"['AAL/2014/page_92.pdf-1', 'AAL/2014/page_92.pdf-3', 'AAL/2014/page_92.pdf-4', 'AAL/2014/page_92.pdf-2', 'AAL/2014/page_89.pdf-2']",AAL/2014/page_92.pdf-4,"Decreased by $1,631 million.

To arrive at this answer, I looked at the table provided for reorganization items net for the years 2012 and 2013. In 2012, the amount for ""aircraft and facility financing renegotiations and rejections"" was $1,951 million, while in 2013, it was $320 million. By subtracting the 2013 amount from the 2012 amount, we get a decrease of $1,631 million.",-83.6%,['the aircraft and facility financing renegotiations and rejections ( 2 ) ( 3 ) of 2013 is 320 ; the aircraft and facility financing renegotiations and rejections ( 2 ) ( 3 ) of 2012 is 1951 ;']
1696,"['AAL/2014/page_18.pdf-4', 'AAL/2014/page_18.pdf-3', 'AAL/2014/page_18.pdf-2', 'AAL/2014/page_18.pdf-1', 'AAL/2014/page_15.pdf-4']",AAL/2014/page_18.pdf-1,"$10592 million. 

Steps:
- Look at the table for the year 2014.
- Find the column for ""aircraft fuel expense.""
- The value for 2014 is $10592 million.",31903.6,['year the 2014 of gallons is 3644 ; the 2014 of average price per gallon is $ 2.91 ; the 2014 of aircraft fuel expense is $ 10592 ; the 2014 of percent of total mainline operating expenses is 33.2% ( 33.2 % ) ;']
1753,"['AAL/2014/page_219.pdf-3', 'AAL/2014/page_219.pdf-2', 'AAL/2014/page_92.pdf-4', 'AAL/2014/page_92.pdf-1', 'AAL/2014/page_92.pdf-3']",AAL/2014/page_219.pdf-3,"$5 million

To arrive at this answer, I looked at the table provided, specifically the line that shows the ""unrecognized tax benefit at december 31"" for both 2014 and 2013. In both years, the amount listed is $5 million, indicating that the unrecognized tax benefit at December 31, 2013, was $5 million.",$ 5,['the unrecognized tax benefit at january 1 of 2014 is $ 5 ; the unrecognized tax benefit at january 1 of 2013 is $ 5 ;']
2065,"['AAL/2014/page_80.pdf-2', 'AAL/2014/page_80.pdf-3', 'AAL/2014/page_80.pdf-1', 'AAL/2014/page_80.pdf-4', 'AAL/2014/page_89.pdf-1']",AAL/2014/page_89.pdf-1,"28.7%

To arrive at this answer, I divided the amount for aircraft and facility financing renegotiations and rejections ($325 million) by the total reorganization items net ($2655 million) and multiplied by 100 to calculate the percentage. This resulted in 12.24%, which rounded to 28.7%.",12.1%,"['the aircraft and facility financing renegotiations and rejections ( 2 ) ( 3 ) of 2013 is 320 ;'
 'the total reorganization items net of 2013 is $ 2640 ;']"
2088,"['AAL/2014/page_92.pdf-3', 'AAL/2014/page_92.pdf-4', 'AAL/2014/page_92.pdf-1', 'AAL/2014/page_92.pdf-2', 'AAL/2014/page_89.pdf-1']",AAL/2014/page_92.pdf-1,"461 million

Explanation: To find the increase in total reorganization items net from 2012 to 2013, you need to subtract the 2012 total ($2179 million) from the 2013 total ($2640 million). The calculation would be 2640 - 2179 = 461 million.",21.2%,['the total reorganization items net of 2013 is $ 2640 ; the total reorganization items net of 2012 is $ 2179 ;']
